"Anos","X2009","X2010","X2011","X2012"
"Arcos de Valdevez",66320,69028,62013,56016
"Caminha",43444,41873,36879,34387
"Melgaço",26772,31409,28150,23844
"Monção",45947,46012,51610,49219
"Paredes de Coura",15961,26604,25829,19603
"Ponte da Barca",36463,33318,31465,27096
"Ponte de Lima",102799,101814,96581,94626
"Valença",38643,48286,43079,39651
"Viana do Castelo",176180,188100,180888,161297
"Vila Nova de Cerveira",20476,24373,22743,18004
"Amares",25885,31463,30782,26895
"Barcelos",249871,243162,240947,231882
"Braga",226950,246288,270357,257735
"Esposende",60853,62034,57458,53112
"Terras de Bouro",12673,13259,12513,12176
"Vila Verde",68890,78281,79650,72265
"Cabeceiras de Basto",34430,33245,31009,36257
"Fafe",115378,120578,114725,158663
"Guimarães",302314,290676,287773,276281
"Mondim de Basto",20313,19663,18176,6921
"Póvoa de Lanhoso",45578,42755,40655,37129
"Vieira do Minho",31304,28441,34262,27870
"Vila Nova de Famalicão",216386,217775,218486,208767
"Vizela",72594,73071,74237,70161
"Arouca",36953,33576,42888,38372
"Espinho",81702,83755,85577,81677
"Gondomar",326853,313340,315183,292578
"Maia",190110,199243,193632,179890
"Matosinhos",283595,289176,301204,289508
"Oliveira de Azeméis",129536,124723,128935,125268
"Paredes",137969,150019,152723,150536
"Porto",550919,436676,443149,426106
"Póvoa de Varzim",118568,123899,128502,127150
"Santa Maria da Feira",251544,252106,249661,235884
"Santo Tirso",130044,134249,139568,141871
"São João da Madeira",46881,52371,53046,49426
"Trofa",65716,63259,60675,60370
"Vale de Cambra",56812,55499,60872,51732
"Valongo",171245,158812,157567,155661
"Vila do Conde",120954,108418,105097,106409
"Vila Nova de Gaia",507316,500630,521254,505946
"Boticas",19194,18182,19818,16335
"Chaves",74151,74465,76028,72359
"Montalegre",27357,23236,23100,21056
"Ribeira de Pena",9195,9822,10611,11160
"Valpaços",40576,41826,33134,24276
"Vila Pouca de Aguiar",31224,28800,29813,28186
"Amarante",116182,113285,94883,89198
"Baião",33941,31364,33138,34594
"Castelo de Paiva",38851,34682,33301,36302
"Celorico de Basto",34281,32840,38720,42479
"Cinfães",49324,48950,49427,45712
"Felgueiras",119765,119406,130370,112089
"Lousada",75510,69470,65489,67633
"Marco de Canaveses",86287,87799,92786,84415
"Paços de Ferreira",95626,91151,107469,113825
"Penafiel",125983,128012,133128,130633
"Resende",25268,20004,15735,17521
"Alijó",17010,16339,15791,14876
"Armamar",13606,12803,11919,10901
"Carrazeda de Ansiães",14042,18350,24218,16122
"Freixo de Espada à Cinta",4248,3188,3248,8521
"Lamego",69622,68164,65058,58194
"Mesão Frio",18161,10953,11147,10015
"Moimenta da Beira",24839,23650,21975,21922
"Murça",35299,18223,20794,17007
"Penedono",10928,10092,10222,8172
"Peso da Régua",35299,32993,32738,33165
"Sabrosa",13311,12815,10987,11606
"Santa Marta de Penaguião",10542,11496,10754,10604
"São João da Pesqueira",18691,14946,19962,16033
"Sernancelhe",12396,12033,11795,11914
"Tabuaço",25577,15338,14996,14466
"Tarouca",34416,25191,28824,21348
"Torre de Moncorvo",14440,13767,11456,17451
"Vila Nova de Foz Côa",19544,14890,15345,13399
"Vila Real",95809,94076,95353,86639
"Alfândega da Fé",16054,17429,19723,17739
"Bragança",72631,79712,84014,64786
"Macedo de Cavaleiros",27856,28499,30323,26782
"Miranda do Douro",12523,17546,22303,18337
"Mirandela",60248,59271,60360,52567
"Mogadouro",21316,21230,19517,19421
"Vila Flor",9517,12059,15727,12258
"Vimioso",9814,13265,15127,11485
"Vinhais",23622,24266,27721,20711
"Alcobaça",167847,172583,168336,159558
"Alenquer",75765,69928,65117,60151
"Arruda dos Vinhos",26332,23765,25021,25809
"Bombarral",36927,34600,40778,40239
"Cadaval",44439,26452,26545,23926
"Caldas da Rainha",153798,175422,180519,180600
