"Anos","X2009","X2010","X2011","X2012"
"Arcos de Valdevez",2021,1830,1701,1659
"Caminha",1312,1393,1336,1378
"Melgaço",617,657,505,457
"Monção",1376,1107,1219,1227
"Paredes de Coura",851,658,876,687
"Ponte da Barca",859,758,1097,904
"Ponte de Lima",4366,4601,3948,4060
"Valença",1256,1127,1002,1000
"Viana do Castelo",6974,6598,6620,6798
"Vila Nova de Cerveira",661,597,443,506
"Amares",978,924,1020,978
"Barcelos",7412,7293,8044,5352
"Braga",10049,9412,11068,10840
"Esposende",2820,2294,2541,2419
"Terras de Bouro",310,393,345,368
"Vila Verde",3323,2900,3327,3370
"Cabeceiras de Basto",1230,1042,1212,1089
"Fafe",4377,3856,3862,3524
"Guimarães",11150,11609,8460,10453
"Mondim de Basto",313,258,275,335
"Póvoa de Lanhoso",1357,1419,1237,958
"Vieira do Minho",616,713,612,557
"Vila Nova de Famalicão",6830,5966,6713,6580
"Vizela",2490,2665,2727,2516
"Arouca",1394,1367,1281,1206
"Espinho",2731,2671,2551,2000
"Gondomar",9678,10284,10737,10918
"Maia",6550,6747,6984,6611
"Matosinhos",10588,9745,10657,10279
"Oliveira de Azeméis",2847,3224,3230,2900
"Paredes",5665,6576,6026,5456
"Porto",13129,12181,12480,12051
"Póvoa de Varzim",4713,4909,5487,5328
"Santa Maria da Feira",8871,8649,8810,8354
"Santo Tirso",4024,4007,4537,4098
"São João da Madeira",1350,1538,1675,1599
"Trofa",1921,2102,2357,2405
"Vale de Cambra",994,1169,1224,1072
"Valongo",6409,5972,5669,5013
"Vila do Conde",4938,4500,4767,4624
"Vila Nova de Gaia",16456,16516,16870,16592
"Boticas",176,149,131,149
"Chaves",1648,1532,1515,1539
"Montalegre",266,270,258,240
"Ribeira de Pena",176,304,265,391
"Valpaços",443,545,466,480
"Vila Pouca de Aguiar",668,1035,751,612
"Amarante",3477,3737,3352,3002
"Baião",1520,1141,1277,1292
"Castelo de Paiva",1532,1238,1172,1005
"Celorico de Basto",1322,1473,1332,1170
"Cinfães",1262,1593,1387,1229
"Felgueiras",3547,3361,3167,2639
"Lousada",3107,2807,2547,2263
"Marco de Canaveses",3596,4013,3690,3125
"Paços de Ferreira",4291,4731,3914,3658
"Penafiel",5801,6179,5539,5339
"Resende",395,388,405,366
"Alijó",308,384,363,356
"Armamar",211,188,147,141
"Carrazeda de Ansiães",339,293,318,288
"Freixo de Espada à Cinta",209,193,135,247
"Lamego",1218,1241,1384,1350
"Mesão Frio",350,347,338,274
"Moimenta da Beira",462,558,553,491
"Murça",261,343,402,284
"Penedono",138,150,156,90
"Peso da Régua",934,973,909,703
"Sabrosa",319,298,207,171
"Santa Marta de Penaguião",445,297,393,246
"São João da Pesqueira",535,438,461,311
"Sernancelhe",271,324,277,353
"Tabuaço",284,298,355,261
"Tarouca",763,487,391,500
"Torre de Moncorvo",249,341,326,279
"Vila Nova de Foz Côa",407,400,400,262
"Vila Real",2907,2981,2812,2920
"Alfândega da Fé",206,169,196,267
"Bragança",2436,2772,2679,2369
"Macedo de Cavaleiros",816,800,644,699
"Miranda do Douro",320,328,438,405
"Mirandela",1586,1585,1594,1145
"Mogadouro",602,454,442,367
"Vila Flor",274,343,370,387
"Vimioso",157,164,227,245
"Vinhais",285,259,294,254
"Alcobaça",2156,2002,2536,2566
"Alenquer",2150,2011,1912,1566
"Arruda dos Vinhos",548,670,528,480
"Bombarral",667,670,723,563
"Cadaval",385,489,511,443
"Caldas da Rainha",2504,2795,2974,3377
"Lourinhã",1401,1245,1227,1480
"Nazaré",957,1235,1342,1226
"Óbidos",286,277,316,362
"Peniche",841,984,870,1129
"Sobral de Monte Agraço",411,426,455,564
"Torres Vedras",4525,4620,4885,4573
"Águeda",1906,2193,2169,2364
"Albergaria-a-Velha",1095,1140,920,1266
"Anadia",1424,1924,1722,1560
"Aveiro",4195,4503,3892,4402
"Estarreja",886,1568,1114,1213
"Ílhavo",2704,2821,2389,2606
"Murtosa",886,702,614,715
"Oliveira do Bairro",1165,1385,1346,1280
"Ovar",3352,3691,3339,3009
"Sever do Vouga",615,560,478,531
"Vagos",1339,1488,1101,1257
"Arganil",595,542,462,465
"Cantanhede",2181,1859,2062,1788
"Coimbra",5923,6052,6225,5621
"Condeixa-a-Nova",826,893,713,696
"Figueira da Foz",1303,1538,983,1255
"Góis",62,109,79,118
"Lousã",1084,723,1050,999
"Mealhada",1052,1135,1090,1039
"Mira",571,527,576,750
"Miranda do Corvo",350,243,337,285
"Montemor-o-Velho",1303,1228,1169,1137
"Mortágua",522,509,443,474
"Oliveira do Hospital",757,1019,962,532
"Pampilhosa da Serra",128,63,90,144
"Penacova",655,641,760,431
"Penela",247,295,206,262
"Soure",579,509,602,624
"Tábua",812,883,867,774
"Vila Nova de Poiares",109,239,246,134
"Alvaiázere",225,324,150,188
"Ansião",365,295,325,324
"Batalha",389,372,390,635
"Castanheira de Pêra",177,195,102,64
"Figueiró dos Vinhos",311,223,165,288
"Leiria",3395,3672,3161,3505
"Marinha Grande",1200,1060,976,1095
"Pedrógão Grande",151,148,89,162
"Pombal",2035,8550,1915,1584
"Porto de Mós",951,886,751,865
"Aguiar da Beira",194,311,240,250
"Carregal do Sal",701,603,552,481
"Castro Daire",661,321,623,770
"Mangualde",893,1130,1056,1089
"Nelas",703,583,629,648
"Oliveira de Frades",602,532,569,628
"Penalva do Castelo",449,331,330,303
"Santa Comba Dão",637,492,696,662
"São Pedro do Sul",1274,530,850,811
"Sátão",564,406,520,488
"Tondela",1072,893,926,892
"Vila Nova de Paiva",292,184,196,147
"Viseu",4320,4901,4948,5601
"Vouzela",497,344,493,416
"Castelo Branco",2437,2402,2435,2667
"Idanha-a-Nova",292,3290,237,291
"Oleiros",97,120,71,52
"Penamacor",83,121,142,107
"Proença-a-Nova",338,323,269,271
"Vila Velha de Ródão",122,146,122,74
"Abrantes",1261,945,1004,1033
"Alcanena",731,646,818,612
"Constância",136,123,152,258
"Entroncamento",876,974,1153,1202
"Ferreira do Zêzere",432,382,376,354
"Mação",240,237,245,216
"Ourém",1999,1822,1794,1666
"Sardoal",129,120,119,75
"Sertã",658,760,704,533
"Tomar",1618,1623,1420,1580
"Torres Novas",1660,1797,1395,1396
"Vila de Rei",44,49,92,48
"Vila Nova da Barquinha",620,671,632,521
"Almeida",209,254,316,250
"Belmonte",253,207,181,221
"Celorico da Beira",429,405,394,514
"Covilhã",1705,1419,1029,984
"Figueira de Castelo Rodrigo",220,266,342,336
"Fornos de Algodres",382,338,331,459
"Fundão",572,473,347,297
"Gouveia",745,648,664,568
