"Anos","X2009","X2010","X2011","X2012"
"Arcos de Valdevez",0,0,0,0
"Caminha",0,0,0,0
"Melgaço",0,0,0,0
"Monção",0,0,0,0
"Paredes de Coura",0,0,0,0
"Ponte da Barca",0,0,0,0
"Ponte de Lima",0,0,0,0
"Valença",0,0,0,0
"Viana do Castelo",0,0,0,0
"Vila Nova de Cerveira",0,0,0,0
"Amares",0,0,0,0
"Barcelos",0,0,0,0
"Braga",0,0,0,0
"Esposende",0,0,0,0
"Terras de Bouro",0,0,0,0
"Vila Verde",0,0,0,0
"Cabeceiras de Basto",0,0,0,0
"Fafe",0,0,0,0
"Guimarães",0,0,0,0
"Mondim de Basto",0,0,0,0
"Póvoa de Lanhoso",0,0,0,0
"Vieira do Minho",0,0,0,0
"Vila Nova de Famalicão",0,0,0,0
"Vizela",0,0,0,0
"Arouca",0,0,0,0
"Espinho",0,0,0,0
"Gondomar",0,0,0,0
"Maia",0,0,0,0
"Matosinhos",0,0,0,0
"Oliveira de Azeméis",0,0,0,0
"Paredes",0,0,0,0
"Porto",0,0,0,0
"Póvoa de Varzim",0,0,0,0
"Santa Maria da Feira",0,0,0,0
"Santo Tirso",0,0,0,0
"São João da Madeira",0,0,0,0
"Trofa",0,0,0,0
"Vale de Cambra",0,0,0,0
"Valongo",0,0,0,0
"Vila do Conde",0,0,0,0
"Vila Nova de Gaia",0,0,0,0
"Boticas",0,0,0,0
"Chaves",0,0,0,0
"Montalegre",0,0,0,0
"Ribeira de Pena",0,0,0,0
"Valpaços",0,0,0,0
"Vila Pouca de Aguiar",0,0,0,0
"Amarante",0,0,0,0
"Baião",0,0,0,0
"Castelo de Paiva",0,0,0,0
"Celorico de Basto",0,0,0,0
"Cinfães",0,0,0,0
"Felgueiras",0,0,0,0
"Lousada",0,0,0,0
"Marco de Canaveses",0,0,0,0
"Paços de Ferreira",0,0,0,0
"Penafiel",0,0,0,0
"Resende",0,0,0,0
"Alijó",0,0,0,0
"Armamar",0,0,0,0
"Carrazeda de Ansiães",0,0,0,0
"Freixo de Espada à Cinta",0,0,0,0
"Lamego",0,0,0,0
"Mesão Frio",0,0,0,0
"Moimenta da Beira",0,0,0,0
"Murça",0,0,0,0
"Penedono",0,0,0,0
"Peso da Régua",0,0,0,0
"Sabrosa",0,0,0,0
"Santa Marta de Penaguião",0,0,0,0
"São João da Pesqueira",0,0,0,0
"Sernancelhe",0,0,0,0
"Tabuaço",0,0,0,0
"Tarouca",0,0,0,0
"Torre de Moncorvo",0,0,0,0
"Vila Nova de Foz Côa",0,0,0,0
"Vila Real",0,0,0,0
"Alfândega da Fé",0,0,0,0
"Bragança",0,0,0,0
"Macedo de Cavaleiros",0,0,0,0
"Miranda do Douro",0,0,0,0
"Mirandela",0,0,0,0
"Mogadouro",0,0,0,0
"Vila Flor",0,0,0,0
"Vimioso",0,0,0,0
"Vinhais",0,0,0,0
"Alcobaça",0,0,0,0
"Alenquer",0,0,0,0
"Arruda dos Vinhos",0,0,0,0
"Bombarral",0,0,0,0
"Cadaval",0,0,0,0
"Caldas da Rainha",0,0,0,0
"Lourinhã",0,0,0,0
"Nazaré",0,0,0,0
"Óbidos",0,0,0,0
"Peniche",0,0,0,0
"Sobral de Monte Agraço",0,0,0,0
"Torres Vedras",0,0,0,0
"Águeda",0,0,0,0
"Albergaria-a-Velha",0,0,0,0
"Anadia",0,0,0,0
"Aveiro",0,0,0,0
"Estarreja",0,0,0,0
"Ílhavo",0,0,0,0
"Murtosa",0,0,0,0
"Oliveira do Bairro",0,0,0,0
"Ovar",0,0,0,0
"Sever do Vouga",0,0,0,0
"Vagos",0,0,0,0
"Arganil",0,0,0,0
"Cantanhede",0,0,0,0
"Coimbra",3989,0,3753,3716
"Condeixa-a-Nova",0,0,0,0
"Figueira da Foz",0,0,0,0
"Góis",0,0,0,0
"Lousã",0,0,0,0
"Mealhada",0,0,0,0
"Mira",0,0,0,0
"Miranda do Corvo",0,0,0,0
"Montemor-o-Velho",0,0,0,0
"Mortágua",0,0,0,0
"Oliveira do Hospital",0,0,0,0
"Pampilhosa da Serra",0,0,0,0
"Penacova",0,0,0,0
"Penela",0,0,0,0
"Soure",0,0,0,0
"Tábua",0,0,0,0
"Vila Nova de Poiares",0,0,0,0
"Alvaiázere",0,0,0,0
"Ansião",0,0,0,0
"Batalha",0,0,0,0
"Castanheira de Pêra",0,0,0,0
"Figueiró dos Vinhos",0,0,0,0
"Leiria",0,0,0,0
"Marinha Grande",0,0,0,0
"Pedrógão Grande",0,0,0,0
"Pombal",0,0,0,0
"Porto de Mós",0,0,0,0
"Aguiar da Beira",0,0,0,0
"Carregal do Sal",0,0,0,0
"Castro Daire",0,0,0,0
