"Anos","X2009","X2010","X2011","X2012"
"Arcos de Valdevez",12465,10525,10440,8728
"Caminha",6741,5418,5543,5131
"Melgaço",1885,3785,2952,2129
"Monção",4145,3788,4147,4180
"Paredes de Coura",3285,4951,5540,4145
"Ponte da Barca",3620,4928,5630,5048
"Ponte de Lima",23839,18153,20445,19573
"Valença",3840,6755,4280,4061
"Viana do Castelo",26188,28997,31061,29692
"Vila Nova de Cerveira",1913,2802,2516,2240
"Amares",4971,5471,6652,5950
"Barcelos",45985,39368,45427,46351
"Braga",58511,49514,65952,58463
"Esposende",13660,10314,12748,12992
"Terras de Bouro",2869,1906,2530,2116
"Vila Verde",16381,15617,20100,17839
"Cabeceiras de Basto",7947,6825,6618,8241
"Fafe",25234,21169,24060,21092
"Guimarães",76135,59783,66260,60467
"Mondim de Basto",1797,1386,1323,1209
"Póvoa de Lanhoso",7890,7512,8621,7239
"Vieira do Minho",3605,3252,5420,4549
"Vila Nova de Famalicão",41765,32712,38160,36880
"Vizela",17784,15599,28200,15723
"Arouca",6898,4624,6929,6151
"Espinho",17001,15203,16534,16369
"Gondomar",68892,56902,67488,66253
"Maia",45404,38831,45292,46494
"Matosinhos",59161,50548,68584,70540
"Oliveira de Azeméis",18444,15737,18659,17957
"Paredes",31100,31498,37486,37730
"Porto",79486,61361,74566,76928
"Póvoa de Varzim",21359,20813,27696,30081
"Santa Maria da Feira",52260,41997,48127,45472
"Santo Tirso",27842,21546,27645,27758
"São João da Madeira",7129,7150,8128,8193
"Trofa",13774,9800,14106,14014
"Vale de Cambra",6159,7190,9785,6312
"Valongo",38682,30357,33907,34042
"Vila do Conde",22987,17409,23877,25938
"Vila Nova de Gaia",103477,85959,107785,111494
"Boticas",1314,1155,1301,1264
"Chaves",8975,8539,9875,8434
"Montalegre",1824,1539,1951,1680
"Ribeira de Pena",1395,1073,1316,1448
"Valpaços",3306,5471,2679,2239
"Vila Pouca de Aguiar",3895,3411,3844,3467
"Amarante",14705,14289,15193,14652
"Baião",8404,5211,7210,7491
"Castelo de Paiva",8442,6994,7772,8955
"Celorico de Basto",6606,4919,7639,9847
"Cinfães",6479,6121,6228,5499
"Felgueiras",18911,15807,17657,15679
"Lousada",14422,12251,14302,15236
"Marco de Canaveses",18939,17976,22944,19236
"Paços de Ferreira",21070,19090,24935,25863
"Penafiel",32917,30083,34757,35406
"Resende",3508,2689,2403,2226
"Alijó",1981,1595,1754,1656
"Armamar",2004,1623,1634,1393
"Carrazeda de Ansiães",1179,1696,3133,2312
"Freixo de Espada à Cinta",675,540,571,1383
"Lamego",11979,9671,10094,8663
"Mesão Frio",1835,1654,1655,1628
"Moimenta da Beira",4166,3236,3091,2877
"Murça",1761,1796,1716,1631
"Penedono",2314,1773,1713,1162
"Peso da Régua",5835,4783,5153,5023
"Sabrosa",1749,1344,1315,1299
"Santa Marta de Penaguião",1620,1257,1549,1348
"São João da Pesqueira",3134,2322,4278,2728
"Sernancelhe",2114,1675,2046,1823
"Tabuaço",1766,1374,1442,1407
"Tarouca",8286,3367,5404,4427
"Torre de Moncorvo",1569,1046,1170,2401
"Vila Nova de Foz Côa",1800,1722,2096,1803
"Vila Real",18420,16014,17797,18835
"Alfândega da Fé",1003,1303,1995,1936
"Bragança",9387,11133,12236,10946
"Macedo de Cavaleiros",4058,3070,3741,3448
"Miranda do Douro",1766,2680,3994,3029
"Mirandela",7880,7029,7054,6264
"Mogadouro",1920,1815,1670,1806
"Vila Flor",1467,1796,3076,2294
"Vimioso",573,1040,1699,1044
"Vinhais",1389,1718,2665,1935
"Alcobaça",18697,19971,18224,16649
"Alenquer",8548,7815,7456,6984
"Arruda dos Vinhos",3908,3458,3672,4725
"Bombarral",2852,2730,4110,4387
"Cadaval",5510,2078,2245,1934
"Caldas da Rainha",17675,22279,22151,23370
"Lourinhã",11346,9428,9484,8789
"Nazaré",4383,6690,5552,4798
"Óbidos",2553,1792,1600,1528
"Peniche",6572,6188,6081,5316
"Sobral de Monte Agraço",3502,1745,1776,1878
"Torres Vedras",25566,23000,21898,21309
"Águeda",12819,12988,14021,13260
"Albergaria-a-Velha",8408,7437,9089,8733
"Anadia",7554,7316,7822,7797
"Aveiro",25784,25570,26882,26149
"Estarreja",8794,8049,7143,5767
"Ílhavo",13447,15994,15583,14325
"Murtosa",8014,3544,3182,3155
"Oliveira do Bairro",6284,7417,7365,7273
"Ovar",21751,22601,22225,20299
"Sever do Vouga",3613,3162,2661,3270
"Vagos",8431,7671,8939,8859
"Arganil",2624,1962,2431,2298
"Cantanhede",12072,11689,11892,9702
"Coimbra",57065,43237,42665,41794
"Condeixa-a-Nova",7251,6612,6542,7276
"Figueira da Foz",17008,16848,11808,13804
"Góis",675,662,564,632
"Lousã",11002,6217,10297,11161
"Mealhada",5449,5458,5428,5100
"Mira",3477,3247,2999,2807
"Miranda do Corvo",2917,3308,3276,3301
"Montemor-o-Velho",6388,869,6916,6726
"Mortágua",2704,2708,2278,1959
"Oliveira do Hospital",5141,4634,4090,3869
"Pampilhosa da Serra",621,359,959,703
"Penacova",3386,3328,3241,3578
"Penela",1915,1817,1679,1569
"Soure",7249,4518,6076,5827
"Tábua",4543,5778,6055,5677
"Vila Nova de Poiares",1496,1577,1234,1346
"Alvaiázere",1406,1371,1163,1083
"Ansião",3265,3019,2839,2699
"Batalha",5144,4281,5118,6027
"Castanheira de Pêra",915,802,855,683
"Figueiró dos Vinhos",2252,1844,1815,1561
"Leiria",38642,32352,34080,32157
"Marinha Grande",6786,6135,5670,5238
"Pedrógão Grande",1050,927,784,805
"Pombal",13829,10721,13167,12073
"Porto de Mós",9015,7857,7724,7174
"Aguiar da Beira",981,1608,1800,1483
"Carregal do Sal",2952,2825,1980,2125
"Castro Daire",3465,3386,5157,4594
"Mangualde",4567,4661,4558,4220
"Nelas",3146,3491,3617,3234
"Oliveira de Frades",7691,6409,5216,3991
"Penalva do Castelo",4270,2672,1948,1947
"Santa Comba Dão",3219,2654,3071,3128
"São Pedro do Sul",6402,5223,4607,4356
"Sátão",7468,6897,5383,4380
"Tondela",7384,7164,6153,5197
"Vila Nova de Paiva",3260,2788,1802,1343
"Viseu",39453,36879,35487,34566
"Vouzela",6361,5748,3984,2602
"Castelo Branco",11354,10706,11797,12968
"Idanha-a-Nova",1320,1180,1299,1218
"Oleiros",799,601,407,438
"Penamacor",848,696,356,650
