"Anos","X2009","X2010","X2011","X2012"
"Arcos de Valdevez",2745,2624,2660,2978
"Caminha",2725,2611,2505,2423
"Melgaço",903,469,956,1330
"Monção",1561,1230,940,1327
"Paredes de Coura",736,1584,1179,1066
"Ponte da Barca",867,852,908,1128
"Ponte de Lima",7696,5619,5571,5242
"Valença",1375,1020,690,804
"Viana do Castelo",11885,10197,14242,10979
"Vila Nova de Cerveira",518,376,532,477
"Amares",1702,1764,1763,1451
"Barcelos",8814,10782,11870,12307
"Braga",24389,15952,24307,23260
"Esposende",3648,3055,3063,2810
"Terras de Bouro",545,746,697,605
"Vila Verde",3079,3378,4138,4399
"Cabeceiras de Basto",1502,1468,1006,1031
"Fafe",9370,8183,8237,7034
"Guimarães",15516,14056,15080,14104
"Mondim de Basto",351,354,325,326
"Póvoa de Lanhoso",1879,1448,1828,1759
"Vieira do Minho",1034,813,655,472
"Vila Nova de Famalicão",11869,10149,11578,9950
"Vizela",2637,3389,3413,2865
"Arouca",1668,1639,2050,2370
"Espinho",4146,4623,4905,5182
"Gondomar",13167,14092,15907,17039
"Maia",11846,11234,13907,13910
"Matosinhos",21304,18293,23781,26939
"Oliveira de Azeméis",7090,6502,7405,7025
"Paredes",7744,5516,8016,8985
"Porto",19855,16195,16742,21065
"Póvoa de Varzim",7930,7357,10642,12095
"Santa Maria da Feira",13871,13758,15955,14584
"Santo Tirso",5114,4826,6361,6903
"São João da Madeira",2321,3288,3477,3373
"Trofa",3343,2264,3403,3452
"Vale de Cambra",2136,2626,2923,2799
"Valongo",8391,7652,8318,8176
"Vila do Conde",8445,5399,9034,10563
"Vila Nova de Gaia",29237,24471,30006,33339
"Boticas",26,40,47,85
"Chaves",2791,2411,2418,2340
"Montalegre",294,245,225,151
"Ribeira de Pena",757,678,552,508
"Valpaços",609,1111,785,677
"Vila Pouca de Aguiar",1494,1237,1354,1202
"Amarante",6713,6080,6144,6118
"Baião",2257,1582,1897,1994
"Castelo de Paiva",1611,1492,1871,1712
"Celorico de Basto",584,586,627,487
"Cinfães",2151,1606,1440,1546
"Felgueiras",1823,1347,1690,1697
"Lousada",4830,3756,3346,2583
"Marco de Canaveses",3458,4141,4249,4202
"Paços de Ferreira",3822,3345,3601,3984
"Penafiel",8733,9776,8866,8059
"Resende",629,853,828,836
"Alijó",321,310,445,439
"Armamar",536,551,574,519
"Carrazeda de Ansiães",315,466,306,254
"Freixo de Espada à Cinta",571,508,520,515
"Lamego",4294,3405,3311,3597
"Mesão Frio",202,510,587,397
"Moimenta da Beira",968,1403,1203,1167
"Murça",1205,988,604,447
"Penedono",494,474,461,490
"Peso da Régua",1677,1606,1174,1594
"Sabrosa",182,160,82,92
"Santa Marta de Penaguião",849,743,675,583
"São João da Pesqueira",270,580,746,476
"Sernancelhe",95,161,212,300
"Tabuaço",1002,1043,1104,970
"Tarouca",1244,1247,1112,1215
"Torre de Moncorvo",846,761,527,338
"Vila Nova de Foz Côa",201,225,224,322
"Vila Real",4777,4132,3895,3998
"Alfândega da Fé",759,660,470,447
"Bragança",5280,5443,5037,3498
"Macedo de Cavaleiros",648,744,628,442
"Miranda do Douro",715,631,622,510
