,2009,2010,2011,2012,2009,2010,2011,2012
Arcos de Valdevez,83551,84007,76814,69381,66320,69028,62013,56016
Caminha,54305,51389,46263,43319,43444,41873,36879,34387
Melgaço,30231,36357,32563,27760,26772,31409,28150,23844
Monção,53061,52162,57916,55953,45947,46012,51610,49219
Paredes de Coura,20842,33797,33424,25501,15961,26604,25829,19603
Ponte da Barca,41832,39856,39100,34176,36463,33318,31465,27096
Ponte de Lima,138999,130187,126545,123501,102799,101814,96581,94626
Valença,45188,57188,49051,45516,38643,48286,43079,39651
Viana do Castelo,225259,236748,235273,210907,176180,188100,180888,161297
Vila Nova de Cerveira,23625,28200,26234,21227,20476,24373,22743,18004
Amares,33536,39622,40217,35274,25885,31463,30782,26895
Barcelos,314440,300605,306288,295892,249871,243162,240947,231882
Braga,322402,321604,372348,351152,226950,246288,270357,257735
Esposende,80981,77697,75810,71333,60853,62034,57458,53112
Terras de Bouro,16397,16304,16085,15265,12673,13259,12513,12176
Vila Verde,91673,100176,107215,97873,68890,78281,79650,72265
Cabeceiras de Basto,45109,42580,39845,46618,34430,33245,31009,36257
Fafe,154359,153786,150884,190313,115378,120578,114725,158663
Guimarães,406356,376124,377573,361305,302314,290676,287773,276281
Mondim de Basto,22774,21661,20099,8791,20313,19663,18176,6921
Póvoa de Lanhoso,56704,53134,52341,47085,45578,42755,40655,37129
Vieira do Minho,36559,33219,40949,33448,31304,28441,34262,27870
Vila Nova de Famalicão,278316,266602,274937,262177,216386,217775,218486,208767
Vizela,95505,94724,108577,91265,72594,73071,74237,70161
Arouca,46913,41206,53148,48099,36953,33576,42888,38372
Espinho,105580,106252,109567,105228,81702,83755,85577,81677
Gondomar,423684,397907,412318,389732,326853,313340,315183,292578
Maia,255378,256065,260315,247343,190110,199243,193632,179890
Matosinhos,388976,373302,404828,401701,283595,289176,301204,289508
Oliveira de Azeméis,159710,151479,158901,154337,129536,124723,128935,125268
Paredes,182660,193609,204251,202707,137969,150019,152723,150536
Porto,710855,548687,562996,549815,550919,436676,443149,426106
Póvoa de Varzim,153778,156978,172327,174654,118568,123899,128502,127150
Santa Maria da Feira,328634,316510,322553,304294,251544,252106,249661,235884
Santo Tirso,167108,164628,178111,180630,130044,134249,139568,141871
São João da Madeira,57681,64347,66326,62591,46881,52371,53046,49426
Trofa,84754,77425,80541,80241,65716,63259,60675,60370
Vale de Cambra,66456,66484,74804,61915,56812,55499,60872,51732
Valongo,226384,203092,206399,204030,171245,158812,157567,155661
Vila do Conde,158070,135726,142775,147534,120954,108418,105097,106409
Vila Nova de Gaia,664492,636267,679115,672615,507316,500630,521254,505946
Boticas,20710,19526,21297,17833,19194,18182,19818,16335
Chaves,87565,86947,89836,84672,74151,74465,76028,72359
Montalegre,29741,25290,25534,23127,27357,23236,23100,21056
Ribeira de Pena,11523,11877,12744,13507,9195,9822,10611,11160
Valpaços,44934,48953,37064,27672,40576,41826,33134,24276
Vila Pouca de Aguiar,37281,34483,35762,33467,31224,28800,29813,28186
Amarante,143709,139976,122164,115504,116182,113285,94883,89198
Baião,46359,39665,43522,45788,33941,31364,33138,34594
Castelo de Paiva,52369,46169,45688,48578,38851,34682,33301,36302
Celorico de Basto,45377,42316,50752,56313,34281,32840,38720,42479
Cinfães,59216,58270,58482,53986,49324,48950,49427,45712
Felgueiras,144624,139921,152884,132104,119765,119406,130370,112089
Lousada,97869,88284,85684,87715,75510,69470,65489,67633
Marco de Canaveses,112498,114088,123827,111092,86287,87799,92786,84415
Paços de Ferreira,125537,118317,139919,147330,95626,91151,107469,113825
Penafiel,175440,174050,182290,179437,125983,128012,133128,130633
Resende,29800,23934,19371,20949,25268,20004,15735,17521
Alijó,19620,18628,18353,17327,17010,16339,15791,14876
Armamar,16357,15165,14274,12954,13606,12803,11919,10901
Carrazeda de Ansiães,16976,22235,28676,18976,14042,18350,24218,16122
Freixo de Espada à Cinta,6398,5081,4746,10666,4248,3188,3248,8521
Lamego,87113,82481,79847,71804,69622,68164,65058,58194
Mesão Frio,20548,13464,13727,12314,18161,10953,11147,10015
Moimenta da Beira,30435,28847,26822,26457,24839,23650,21975,21922
Murça,38526,21350,23516,19369,35299,18223,20794,17007
Penedono,13874,12489,12552,9914,10928,10092,10222,8172
Peso da Régua,43745,40355,39974,40485,35299,32993,32738,33165
Sabrosa,15561,14617,12591,13168,13311,12815,10987,11606
Santa Marta de Penaguião,13456,13793,13371,12781,10542,11496,10754,10604
São João da Pesqueira,22630,18286,25447,19548,18691,14946,19962,16033
Sernancelhe,14876,14193,14330,14390,12396,12033,11795,11914
