"Anos","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Arcos de Valdevez",1,1,1,1,1,1,1,1
"Caminha",0,0,0,0,1,1,1,1
"Melgaço",0,0,0,0,1,1,1,1
"Monção",0,0,0,0,0,0,0,0
"Paredes de Coura",1,1,0,0,0,0,0,0
"Ponte da Barca",0,0,0,0,0,0,0,0
"Ponte de Lima",1,0,0,0,0,0,0,0
"Valença",0,0,0,0,1,1,1,1
"Viana do Castelo",10,10,10,10,9,9,10,11
"Vila Nova de Cerveira",1,1,1,1,0,0,0,0
"Amares",0,0,0,0,0,0,0,0
"Barcelos",7,7,7,7,6,5,5,4
"Braga",27,27,29,29,29,30,30,31
"Esposende",4,4,4,5,6,6,6,7
"Terras de Bouro",0,0,0,0,0,0,0,0
"Vila Verde",0,0,0,0,0,0,0,0
"Cabeceiras de Basto",0,0,0,0,0,0,0,0
"Fafe",1,1,1,1,1,1,1,1
"Guimarães",12,14,14,13,16,16,17,17
"Mondim de Basto",0,0,0,0,0,0,0,0
"Póvoa de Lanhoso",0,0,0,0,0,0,0,0
"Vieira do Minho",0,0,0,0,0,0,0,0
"Vila Nova de Famalicão",11,11,11,11,11,11,11,11
"Vizela",0,0,0,0,0,0,0,0
"Arouca",0,0,0,0,0,0,0,1
"Espinho",8,7,7,8,8,8,8,7
"Gondomar",17,17,16,16,15,16,16,16
"Maia",20,22,22,22,21,21,20,21
"Matosinhos",44,43,46,50,53,56,57,56
"Oliveira de Azeméis",0,0,0,0,1,1,1,1
"Paredes",3,3,4,6,6,7,6,6
"Porto",168,172,178,180,183,182,186,190
"Póvoa de Varzim",9,9,10,10,10,11,11,12
"Santa Maria da Feira",5,5,5,5,6,8,9,8
"Santo Tirso",3,3,3,3,3,3,3,4
"São João da Madeira",3,3,3,3,3,3,3,3
"Trofa",1,1,1,1,1,1,1,2
"Vale de Cambra",1,1,1,1,1,1,1,2
"Valongo",4,4,4,4,4,4,4,4
"Vila do Conde",10,10,10,10,10,9,9,10
"Vila Nova de Gaia",55,57,57,58,64,66,67,67
"Boticas",0,0,0,0,0,0,0,0
"Chaves",4,4,4,4,4,4,4,4
"Montalegre",0,0,0,0,0,0,0,0
"Ribeira de Pena",0,0,0,0,0,0,0,0
"Valpaços",0,0,0,0,0,0,0,0
"Vila Pouca de Aguiar",1,1,1,1,1,1,1,1
"Amarante",0,0,0,0,1,1,1,1
"Baião",0,0,0,0,0,0,0,0
"Castelo de Paiva",0,0,0,0,0,0,0,0
"Celorico de Basto",0,0,0,0,0,0,0,0
"Cinfães",0,0,0,0,0,0,0,0
"Felgueiras",0,0,0,0,0,0,0,0
"Lousada",0,0,0,0,0,0,0,0
"Marco de Canaveses",0,0,1,1,1,0,0,0
"Paços de Ferreira",1,1,1,1,1,1,1,1
"Penafiel",1,1,1,2,2,2,3,3
"Resende",0,0,0,0,0,0,0,0
"Alijó",0,0,0,0,0,0,0,0
"Armamar",0,0,0,0,0,0,0,0
"Carrazeda de Ansiães",0,0,0,0,0,0,0,0
"Freixo de Espada à Cinta",0,0,0,0,0,0,0,0
"Lamego",1,1,1,1,1,1,1,1
"Mesão Frio",0,0,0,0,0,0,0,0
"Moimenta da Beira",0,0,0,0,0,0,0,0
"Murça",0,0,0,0,0,0,0,0
"Penedono",0,0,0,0,0,0,0,0
"Peso da Régua",0,0,0,0,0,0,0,0
"Sabrosa",0,0,0,0,0,0,0,0
"Santa Marta de Penaguião",0,0,0,0,0,0,0,0
"São João da Pesqueira",0,0,0,0,0,0,0,0
"Sernancelhe",0,0,0,0,0,0,0,0
"Tabuaço",0,0,0,0,0,0,0,0
"Tarouca",0,0,0,0,0,0,0,0
"Torre de Moncorvo",0,0,0,0,0,0,0,0
"Vila Nova de Foz Côa",0,0,0,0,0,0,0,0
"Vila Real",10,10,10,11,12,12,11,12
"Alfândega da Fé",0,0,0,0,0,0,0,0
"Bragança",3,3,3,3,3,3,3,3
"Macedo de Cavaleiros",0,0,0,0,0,0,0,0
"Miranda do Douro",0,0,0,0,0,0,0,0
"Mirandela",1,1,0,0,0,1,1,1
"Mogadouro",0,0,0,0,0,0,0,0
"Vila Flor",0,0,0,0,0,0,0,0
"Vimioso",0,0,0,0,0,0,0,0
"Vinhais",0,0,0,0,0,0,0,0
"Alcobaça",0,0,0,0,0,0,0,0
"Alenquer",0,0,0,0,0,0,0,0
"Arruda dos Vinhos",1,0,0,0,1,2,2,2
"Bombarral",0,0,0,0,0,0,0,0
"Cadaval",0,0,0,0,0,0,0,0
"Caldas da Rainha",3,3,3,3,3,3,3,3
"Lourinhã",0,0,0,0,0,0,0,0
"Nazaré",1,1,1,1,1,1,1,1
"Óbidos",0,0,0,0,0,0,0,0
"Peniche",1,1,1,1,1,1,1,1
"Sobral de Monte Agraço",0,0,0,0,0,0,0,0
"Torres Vedras",4,5,5,5,5,5,5,5
"Águeda",3,3,3,3,3,3,3,3
"Albergaria-a-Velha",0,0,0,0,0,0,1,1
"Anadia",0,0,0,0,0,0,0,0
"Aveiro",17,17,17,17,19,19,19,20
"Estarreja",0,0,0,0,0,0,0,0
"Ílhavo",3,3,3,3,3,3,2,2
