,2009,2010,2011,2012,2013,2014,2015,2016
Arcos de Valdevez,147,131,127,141,116,104,117,108
Caminha,63,70,68,77,63,70,58,61
Melgaço,60,53,43,66,55,45,60,51
Monção,145,146,118,116,120,107,108,114
Paredes de Coura,40,44,45,36,41,34,30,34
Ponte da Barca,62,68,63,63,44,55,52,39
Ponte de Lima,118,135,115,124,122,123,127,127
Valença,79,58,69,69,64,55,53,47
Viana do Castelo,276,322,238,252,258,233,237,252
Vila Nova de Cerveira,58,30,54,48,39,43,55,38
Amares,50,40,37,33,51,59,71,56
Barcelos,199,241,232,245,241,265,264,273
Braga,288,345,277,321,305,311,338,362
Esposende,79,92,82,93,69,80,78,88
Terras de Bouro,38,36,46,31,34,26,32,40
Vila Verde,127,138,120,128,157,146,146,139
Cabeceiras de Basto,66,61,69,59,86,51,57,53
Fafe,134,127,127,142,119,129,117,128
Guimarães,281,328,302,312,325,338,293,317
Mondim de Basto,38,33,32,28,44,33,42,31
Póvoa de Lanhoso,56,44,53,60,52,65,62,57
Vieira do Minho,61,64,59,66,49,45,57,58
Vila Nova de Famalicão,261,227,231,238,276,249,274,265
Vizela,37,41,40,49,44,37,50,56
Arouca,77,68,73,71,77,81,55,63
Espinho,98,86,82,90,89,81,99,105
Gondomar,342,324,333,328,308,355,393,361
Maia,249,250,223,250,264,244,283,267
Matosinhos,362,374,357,416,390,400,391,424
Oliveira de Azeméis,186,186,172,164,180,193,171,177
Paredes,147,170,139,185,181,186,169,164
Porto,785,771,739,705,726,780,752,743
Póvoa de Varzim,130,127,113,124,127,148,152,147
Santa Maria da Feira,248,301,278,280,280,254,282,304
Santo Tirso,203,208,167,197,214,209,195,189
São João da Madeira,49,53,49,53,57,53,59,45
Trofa,72,87,66,81,90,86,98,93
Vale de Cambra,54,57,80,74,70,91,81,93
Valongo,178,165,169,162,147,182,205,172
Vila do Conde,167,182,162,183,142,186,201,180
Vila Nova de Gaia,662,645,655,699,646,751,712,764
Boticas,33,21,18,31,24,32,27,24
Chaves,166,175,151,174,153,138,129,124
Montalegre,61,78,56,63,64,65,68,60
Ribeira de Pena,30,31,21,28,22,23,21,23
Valpaços,86,75,66,70,92,66,82,80
Vila Pouca de Aguiar,63,60,60,58,53,58,56,64
Amarante,131,116,111,128,142,133,132,153
Baião,80,74,61,101,74,76,68,80
Castelo de Paiva,38,37,31,40,33,40,32,40
Celorico de Basto,66,72,71,72,77,77,76,56
Cinfães,87,91,100,112,103,106,92,102
Felgueiras,107,91,94,119,137,137,125,111
Lousada,93,96,90,112,112,84,105,82
Marco de Canaveses,149,128,130,152,115,135,129,126
Paços de Ferreira,118,124,101,108,112,101,111,111
Penafiel,148,148,116,161,153,188,156,166
Resende,46,59,52,49,50,52,45,34
Alijó,48,52,31,48,45,53,48,48
Armamar,22,32,23,34,19,18,18,26
Carrazeda de Ansiães,35,35,27,23,36,28,20,36
Freixo de Espada à Cinta,32,26,28,35,33,20,28,29
Lamego,79,99,66,64,77,92,99,93
Mesão Frio,7,14,12,8,12,18,20,0
Moimenta da Beira,45,38,35,30,35,36,41,53
Murça,20,22,16,30,22,22,31,18
Penedono,9,19,12,14,15,17,11,25
Peso da Régua,52,45,41,57,42,61,51,47
Sabrosa,27,16,20,21,25,22,32,28
Santa Marta de Penaguião,31,24,38,41,27,26,37,37
São João da Pesqueira,29,43,47,35,30,26,39,30
Sernancelhe,19,26,19,28,23,15,26,22
Tabuaço,21,20,10,14,17,21,16,0
Tarouca,27,17,30,25,29,30,25,23
Torre de Moncorvo,23,39,57,37,45,47,45,42
Vila Nova de Foz Côa,38,36,38,35,25,30,40,37
Vila Real,156,139,141,128,181,131,164,171
Alfândega da Fé,27,34,26,31,26,25,26,22
Bragança,111,119,131,130,127,129,143,114
Macedo de Cavaleiros,62,62,56,63,54,54,67,60
Miranda do Douro,43,35,29,38,43,57,33,38
Mirandela,85,88,73,93,102,101,101,105
Mogadouro,38,40,48,56,39,51,48,46
Vila Flor,44,23,31,37,26,33,38,37
Vimioso,25,26,23,22,36,20,36,21
Vinhais,41,37,36,47,58,45,32,44
Alcobaça,188,248,208,232,208,209,160,225
Alenquer,178,192,167,199,153,153,167,121
Arruda dos Vinhos,54,53,42,72,58,56,39,48
Bombarral,67,78,60,47,67,55,56,63
Cadaval,70,81,81,78,66,70,74,59
Caldas da Rainha,177,168,162,202,158,190,214,204
Lourinhã,81,88,75,86,74,90,83,99
Nazaré,51,60,71,51,43,56,49,59
Óbidos,40,32,35,44,49,52,36,44
Peniche,92,98,107,113,97,123,99,97
Sobral de Monte Agraço,52,47,54,52,46,42,37,49
Torres Vedras,246,266,266,244,232,244,243,301
Águeda,124,123,138,138,153,127,138,155
Albergaria-a-Velha,72,68,61,82,66,76,85,80
Anadia,102,109,91,109,94,95,113,102
Aveiro,174,224,208,203,225,186,205,187
Estarreja,105,89,83,91,100,87,92,75
Ílhavo,91,77,102,88,91,98,67,78
Murtosa,45,37,22,30,37,42,38,40
Oliveira do Bairro,58,84,91,84,84,83,82,101
Ovar,138,150,136,133,150,168,131,136
Sever do Vouga,65,56,58,51,44,43,45,55
Vagos,71,49,53,81,56,64,68,77
Arganil,59,78,56,53,65,43,40,61
Cantanhede,140,143,126,137,124,132,126,143
Coimbra,371,420,406,357,372,365,337,355
Condeixa-a-Nova,59,58,35,46,64,52,48,43
Figueira da Foz,269,246,234,216,189,195,224,194
Góis,17,24,28,19,20,24,22,22
Lousã,56,51,36,47,43,52,45,50
Mealhada,65,76,77,76,84,73,80,73
Mira,39,39,38,45,32,42,44,28
Miranda do Corvo,39,61,49,59,43,44,41,37
Montemor-o-Velho,123,107,111,93,113,95,98,91
Mortágua,43,30,41,33,44,39,37,36
Oliveira do Hospital,81,76,64,79,81,61,74,86
Pampilhosa da Serra,43,43,35,51,33,21,27,30
Penacova,74,60,68,59,70,70,70,71
Penela,36,35,33,43,27,30,23,18
Soure,91,120,110,107,68,68,61,62
Tábua,54,49,39,47,32,46,39,57
Vila Nova de Poiares,23,30,14,34,22,40,39,36
Alvaiázere,55,52,44,40,46,36,43,47
Ansião,42,49,49,51,56,57,38,47
Batalha,42,42,35,37,32,38,24,44
Castanheira de Pêra,11,14,13,21,15,22,14,16
Figueiró dos Vinhos,31,21,35,19,35,26,29,29
Leiria,320,275,248,284,273,272,240,286
Marinha Grande,85,92,82,92,95,118,91,91
Pedrógão Grande,24,30,27,36,27,20,17,26
Pombal,193,195,168,183,192,188,207,209
Porto de Mós,76,63,71,81,76,80,78,79
Aguiar da Beira,30,36,32,46,29,48,39,58
Carregal do Sal,31,32,32,39,30,38,36,44
Castro Daire,86,72,61,90,76,71,77,90
Mangualde,74,69,74,64,74,76,63,64
Nelas,53,39,46,49,54,65,70,52
