,2009,2010,2011,2012,2013,2014,2015,2016
Arcos de Valdevez,12,20,14,14,13,9,12,10
Caminha,6,10,13,7,10,9,12,8
Melgaço,3,0,7,8,10,2,4,8
Monção,14,7,9,14,11,14,14,10
Paredes de Coura,5,0,5,8,4,3,3,6
Ponte da Barca,4,0,0,5,5,5,5,2
Ponte de Lima,18,20,13,23,25,19,18,12
Valença,6,7,6,9,9,5,7,8
Viana do Castelo,40,33,33,30,49,24,44,37
Vila Nova de Cerveira,3,7,0,3,2,2,5,10
Amares,0,0,6,9,0,0,2,4
Barcelos,29,28,22,24,23,17,21,21
Braga,36,29,33,33,45,25,25,28
Esposende,9,8,0,10,10,0,13,13
Terras de Bouro,0,0,0,3,0,0,2,3
Vila Verde,11,9,16,16,13,14,7,10
Cabeceiras de Basto,4,9,0,5,8,4,3,5
Fafe,14,15,19,23,25,17,20,20
Guimarães,50,45,61,67,61,55,62,49
Mondim de Basto,6,0,6,2,5,0,4,2
Póvoa de Lanhoso,8,3,4,6,8,10,11,7
Vieira do Minho,5,5,10,12,6,12,11,5
Vila Nova de Famalicão,43,44,43,43,41,31,34,35
Vizela,7,10,4,10,7,0,7,9
Arouca,4,9,8,8,11,10,4,4
Espinho,16,18,21,25,20,9,22,8
Gondomar,58,59,45,50,57,41,41,44
Maia,31,28,39,46,38,33,33,34
Matosinhos,57,71,66,67,59,48,46,41
Oliveira de Azeméis,31,33,35,41,28,40,35,21
Paredes,21,17,21,31,23,14,18,13
Porto,80,96,100,74,85,77,59,78
Póvoa de Varzim,23,17,18,24,32,27,15,27
Santa Maria da Feira,40,45,51,58,46,49,34,32
Santo Tirso,32,35,35,35,24,24,21,20
São João da Madeira,11,9,13,3,6,10,8,3
Trofa,9,13,11,13,12,8,13,10
Vale de Cambra,8,15,13,18,14,21,14,3
Valongo,19,25,30,23,18,35,27,25
Vila do Conde,19,27,24,32,23,20,28,34
Vila Nova de Gaia,113,123,122,132,120,97,101,101
Boticas,0,6,7,3,3,3,4,3
Chaves,23,27,17,24,14,14,17,18
Montalegre,3,9,10,7,11,5,6,6
