,2009,2010,2011,2012,2013,2014,2015,2016
Arcos de Valdevez,15,19,26,16,16,19,9,16
Caminha,8,11,14,11,8,13,6,6
Melgaço,4,9,3,8,7,8,4,11
Monção,13,18,14,19,11,12,19,12
Paredes de Coura,0,0,3,4,7,8,6,7
Ponte da Barca,0,8,8,14,8,4,7,8
Ponte de Lima,13,26,23,21,26,25,25,23
Valença,8,9,13,12,7,11,5,8
Viana do Castelo,44,39,42,41,35,38,46,31
Vila Nova de Cerveira,9,0,6,3,1,7,1,4
Amares,5,8,9,9,7,11,8,11
Barcelos,43,40,47,47,34,38,36,58
Braga,59,59,50,67,39,50,66,58
Esposende,14,16,10,14,8,5,14,13
Terras de Bouro,7,5,11,6,6,5,10,3
Vila Verde,16,28,33,19,19,21,23,20
Cabeceiras de Basto,10,9,4,10,5,10,5,10
Fafe,28,28,18,18,20,21,21,26
Guimarães,43,41,39,51,47,58,46,55
Mondim de Basto,0,8,6,6,8,2,2,5
Póvoa de Lanhoso,11,9,12,8,9,8,9,6
Vieira do Minho,12,11,0,4,5,9,12,6
Vila Nova de Famalicão,40,49,55,64,49,42,51,46
Vizela,8,3,0,8,7,5,5,6
Arouca,11,8,7,15,9,4,6,11
Espinho,8,11,18,12,13,15,16,12
Gondomar,54,47,42,46,54,49,40,62
Maia,39,35,30,30,37,34,32,49
Matosinhos,73,47,48,55,61,57,58,54
Oliveira de Azeméis,25,18,24,31,32,32,30,24
Paredes,32,34,18,22,24,18,23,24
Porto,121,91,89,95,113,109,109,122
Póvoa de Varzim,19,21,18,18,25,21,21,18
Santa Maria da Feira,37,36,43,39,37,48,47,45
Santo Tirso,19,25,31,31,25,22,30,18
São João da Madeira,5,9,10,9,7,5,7,9
Trofa,8,6,12,11,7,18,14,10
Vale de Cambra,10,10,10,12,15,12,15,16
Valongo,23,28,25,22,28,26,28,30
Vila do Conde,27,19,22,23,23,35,23,26
Vila Nova de Gaia,106,97,119,97,81,105,123,113
Boticas,6,4,4,5,4,5,3,3
Chaves,33,42,27,30,30,25,24,26
Montalegre,13,9,20,8,13,11,11,8
