"X","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Arcos de Valdevez",1,0,1,1,0,0,0,1
"Caminha",1,0,1,0,2,0,0,0
"Melgaço",0,0,1,1,0,0,0,0
"Monção",2,0,0,0,0,0,0,0
"Paredes de Coura",0,0,0,1,0,0,0,0
"Ponte da Barca",2,0,0,0,0,0,0,1
"Ponte de Lima",0,0,1,1,1,0,1,2
"Valença",0,0,0,0,0,0,0,0
"Viana do Castelo",3,0,2,7,3,0,3,1
"Vila Nova de Cerveira",0,1,0,0,0,0,1,0
"Amares",0,0,0,0,0,0,0,0
"Barcelos",2,2,3,2,1,3,2,2
"Braga",1,3,3,1,1,5,1,2
"Esposende",2,2,0,2,1,0,1,0
"Terras de Bouro",0,0,0,0,0,0,0,0
"Vila Verde",1,0,0,0,1,0,2,0
"Cabeceiras de Basto",0,0,0,0,0,0,0,0
"Fafe",2,0,3,0,0,0,0,2
"Guimarães",1,2,1,4,3,0,0,3
"Mondim de Basto",0,0,0,0,0,0,0,0
"Póvoa de Lanhoso",0,0,0,0,0,0,0,0
"Vieira do Minho",0,0,1,0,1,0,0,0
"Vila Nova de Famalicão",0,1,3,2,1,4,2,1
"Vizela",0,0,0,0,1,0,0,0
"Arouca",0,0,0,0,0,0,0,0
"Espinho",1,1,1,2,2,2,0,0
"Gondomar",4,5,4,4,1,0,4,1
"Maia",0,3,1,1,4,3,0,2
"Matosinhos",6,5,2,5,4,6,5,4
"Oliveira de Azeméis",0,0,1,2,1,1,1,0
"Paredes",0,2,3,1,2,0,3,1
"Porto",9,9,11,10,8,8,10,6
"Póvoa de Varzim",3,2,2,2,4,2,2,0
"Santa Maria da Feira",2,5,2,0,5,5,5,1
"Santo Tirso",1,2,1,0,1,3,1,0
"São João da Madeira",0,0,0,1,0,2,0,0
"Trofa",2,1,3,2,2,0,1,1
"Vale de Cambra",0,0,1,0,0,0,1,0
"Valongo",1,1,2,2,3,5,2,5
"Vila do Conde",4,1,7,1,2,3,1,2
"Vila Nova de Gaia",8,6,7,6,9,7,8,7
"Boticas",0,0,0,0,0,0,0,0
"Chaves",0,1,1,2,0,0,1,0
"Montalegre",0,0,2,0,0,0,0,0
"Ribeira de Pena",0,1,0,1,0,0,0,0
"Valpaços",1,1,0,1,0,0,0,0
"Vila Pouca de Aguiar",0,0,0,0,0,0,1,0
"Amarante",2,1,0,1,0,0,2,1
"Baião",0,0,1,0,1,0,1,0
"Castelo de Paiva",0,0,1,0,0,0,1,0
"Celorico de Basto",1,0,1,0,0,0,0,0
"Cinfães",1,0,0,0,2,0,0,0
"Felgueiras",4,1,1,1,1,0,0,0
"Lousada",0,1,1,0,0,0,2,2
"Marco de Canaveses",1,1,4,3,2,0,0,2
"Paços de Ferreira",6,0,2,1,1,0,1,1
"Penafiel",2,1,3,2,0,4,0,3
"Resende",1,1,1,0,0,0,0,0
"Alijó",1,1,0,0,1,0,1,0
"Armamar",0,0,0,0,0,0,0,0
"Carrazeda de Ansiães",0,1,0,0,0,0,0,0
"Freixo de Espada à Cinta",0,0,0,0,0,0,0,0
"Lamego",0,1,0,0,1,0,2,0
"Mesão Frio",0,0,0,0,0,0,0,0
"Moimenta da Beira",0,0,1,0,0,0,0,0
"Murça",0,0,0,0,1,0,1,0
"Penedono",0,0,0,0,0,0,0,0
