,2009,2010,2011,2012,2013,2014,2015,2016
Arcos de Valdevez,23297,23046,22808,22568,22284,22014,21753,21473
Caminha,16839,16778,16686,16579,16465,16333,16176,16038
Melgaço,9393,9301,9191,9040,8874,8737,8614,8479
Monção,19448,19343,19234,19106,18931,18731,18547,18330
Paredes de Coura,9280,9240,9190,9126,9039,8945,8866,8773
Ponte da Barca,12264,12149,12051,11954,11829,11704,11578,11454
Ponte de Lima,43888,43677,43518,43383,43151,42864,42610,42286
Valença,14176,14161,14100,13989,13869,13734,13609,13496
Viana do Castelo,89263,89031,88687,88209,87570,86932,86378,85791
Vila Nova de Cerveira,9244,9275,9265,9203,9138,9075,9004,8925
Amares,18942,18924,18866,18770,18635,18489,18359,18241
Barcelos,121325,120787,120487,120300,119824,119287,118808,118144
Braga,179717,180948,181829,182143,181979,181700,181528,181342
Esposende,34327,34315,34330,34329,34268,34188,34083,33994
Terras de Bouro,7494,7353,7211,7071,6929,6813,6712,6608
Vila Verde,48017,48014,47985,47948,47838,47660,47487,47269
Cabeceiras de Basto,17006,16828,16699,16590,16442,16300,16202,16064
Fafe,51236,50890,50630,50413,50097,49762,49465,49129
Guimarães,159266,158611,158130,157631,156762,155909,155214,154458
Mondim de Basto,7712,7587,7494,7433,7357,7272,7196,7120
Póvoa de Lanhoso,22117,21969,21922,21918,21867,21794,21717,21606
Vieira do Minho,13341,13127,12961,12810,12651,12512,12367,12213
Vila Nova de Famalicão,133651,133849,134054,134090,133843,133494,133153,132683
Vizela,23705,23739,23803,23856,23856,23837,23807,23771
Arouca,22735,22505,22306,22117,21877,21640,21460,21302
Espinho,32298,31983,31628,31184,30674,30237,29882,29634
Gondomar,168363,168278,168266,168190,167771,167183,166590,166041
Maia,133558,134759,135634,135977,135971,135871,135748,135845
Matosinhos,174939,175412,175735,175595,175006,174368,173748,173395
Oliveira de Azeméis,69339,68925,68634,68377,67971,67553,67164,66737
Paredes,86782,86843,87004,87090,86948,86772,86611,86409
Porto,242652,239650,235554,230298,224894,220242,216405,214349
Póvoa de Varzim,63719,63579,63494,63393,63141,62853,62615,62433
Santa Maria da Feira,139556,139483,139706,140037,140052,139824,139544,139173
Santo Tirso,72157,71813,71532,71224,70737,70239,69779,69270
São João da Madeira,21744,21740,21736,21717,21655,21587,21499,21455
Trofa,38961,39015,39022,38927,38743,38524,38335,38237
Vale de Cambra,23269,23036,22839,22665,22439,22221,22017,21794
