"X","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Arcos de Valdevez",77,84,87,92,91,90,91,92
"Caminha",48,50,54,56,54,60,63,62
"Melgaço",29,30,31,30,29,30,30,27
"Monção",58,69,75,73,72,73,69,72
"Paredes de Coura",30,31,31,29,29,32,32,32
"Ponte da Barca",48,51,53,52,53,59,61,57
"Ponte de Lima",184,189,186,204,204,201,195,211
"Valença",40,43,47,48,50,52,46,48
"Viana do Castelo",859,889,918,908,907,900,912,940
"Vila Nova de Cerveira",32,30,33,33,37,33,31,29
"Amares",53,61,68,75,73,71,78,86
"Barcelos",464,496,504,508,510,513,520,558
"Braga",1214,1288,1356,1378,1377,1382,1401,1468
"Esposende",83,87,96,101,98,107,111,130
"Terras de Bouro",16,22,22,23,25,26,24,24
"Vila Verde",122,127,135,144,143,157,158,153
"Cabeceiras de Basto",47,49,53,58,57,63,64,65
"Fafe",215,240,260,249,258,263,264,270
"Guimarães",804,851,888,905,933,920,944,982
"Mondim de Basto",33,35,43,40,40,42,42,42
"Póvoa de Lanhoso",56,62,59,60,65,76,64,64
"Vieira do Minho",43,44,45,47,51,58,59,60
"Vila Nova de Famalicão",508,557,607,623,637,623,649,682
"Vizela",28,40,45,51,57,76,71,76
"Arouca",72,82,82,82,80,75,76,83
"Espinho",118,128,138,140,146,152,145,145
"Gondomar",432,473,506,528,527,532,547,575
"Maia",328,367,397,407,433,434,449,485
"Matosinhos",987,1049,1077,1083,1092,1075,1107,1141
"Oliveira de Azeméis",209,224,234,249,256,253,236,247
"Paredes",210,232,244,258,267,263,278,277
"Porto",5010,5059,5076,5028,4959,4969,5130,5102
"Póvoa de Varzim",363,380,390,396,409,414,438,440
"Santa Maria da Feira",665,728,788,799,804,815,825,849
"Santo Tirso",312,337,357,379,369,372,375,386
"São João da Madeira",146,143,154,152,155,154,148,148
"Trofa",96,104,118,126,128,128,128,130
"Vale de Cambra",60,65,64,59,58,59,63,61
"Valongo",298,325,353,366,374,379,383,421
"Vila do Conde",171,195,223,239,248,254,242,257
"Vila Nova de Gaia",1492,1572,1649,1674,1701,1702,1773,1840
"Boticas",21,23,27,28,28,30,30,30
"Chaves",447,466,493,502,494,488,481,487
"Montalegre",48,52,52,54,51,53,49,47
"Ribeira de Pena",32,33,34,35,35,39,39,39
"Valpaços",49,60,62,64,65,68,73,82
"Vila Pouca de Aguiar",54,59,61,58,58,57,55,65
"Amarante",293,313,318,304,300,293,282,290
"Baião",52,60,66,66,71,74,74,75
"Castelo de Paiva",43,47,53,48,47,51,51,52
"Celorico de Basto",52,52,54,56,58,61,59,64
"Cinfães",39,50,49,54,56,55,63,62
"Felgueiras",153,182,213,219,212,213,206,219
"Lousada",104,116,124,139,147,156,151,162
"Marco de Canaveses",99,117,124,134,135,135,131,139
"Paços de Ferreira",105,128,134,142,148,168,164,179
"Penafiel",472,488,508,505,511,532,580,612
"Resende",33,35,33,34,33,32,29,31
"Alijó",39,41,42,48,46,47,46,51
"Armamar",12,13,13,12,14,14,14,17
"Carrazeda de Ansiães",36,34,33,32,34,37,35,30
"Freixo de Espada à Cinta",19,21,21,20,21,22,20,21
"Lamego",182,194,197,193,196,201,183,185
"Mesão Frio",9,9,9,9,9,9,12,11
"Moimenta da Beira",32,36,39,37,36,36,38,36
"Murça",30,33,32,33,33,35,34,33
"Penedono",7,7,8,9,11,13,9,8
"Peso da Régua",96,99,101,100,97,96,91,96
"Sabrosa",14,15,14,12,12,14,15,15
"Santa Marta de Penaguião",15,17,17,17,20,21,19,20
"São João da Pesqueira",19,20,22,23,23,22,24,23
"Sernancelhe",13,14,13,14,14,15,14,14
