,2009,2010,2011,2012,2013,2014,2015,2016
Arcos de Valdevez,32,34,36,37,38,38,37,39
Caminha,58,58,60,61,69,70,74,75
Melgaço,16,18,22,21,24,27,27,24
Monção,48,52,54,46,50,50,52,56
Paredes de Coura,10,10,7,8,9,9,13,13
Ponte da Barca,24,23,23,21,24,24,27,28
Ponte de Lima,72,69,71,72,73,70,77,83
Valença,30,32,34,22,21,19,23,24
Viana do Castelo,342,363,380,378,408,418,427,434
Vila Nova de Cerveira,29,28,28,27,24,24,24,26
Amares,21,21,25,29,32,38,43,46
Barcelos,154,164,178,188,204,218,240,260
Braga,876,947,985,1015,1076,1129,1210,1281
Esposende,68,76,80,88,97,100,116,124
Terras de Bouro,2,3,3,3,3,5,5,7
Vila Verde,35,39,48,47,52,57,60,61
Cabeceiras de Basto,18,21,23,25,28,31,33,36
Fafe,68,70,75,89,96,105,116,131
Guimarães,354,374,391,413,442,470,504,536
Mondim de Basto,7,7,7,7,8,8,8,9
Póvoa de Lanhoso,22,24,26,28,28,26,28,30
Vieira do Minho,12,12,12,12,13,13,13,15
Vila Nova de Famalicão,224,235,255,276,305,324,358,379
Vizela,32,37,39,38,47,51,53,54
Arouca,20,21,22,21,22,25,26,26
Espinho,151,154,159,163,166,169,176,185
Gondomar,454,475,490,511,538,567,605,640
Maia,693,724,741,762,791,797,810,842
Matosinhos,1220,1262,1315,1357,1381,1408,1461,1485
Oliveira de Azeméis,98,106,107,115,122,128,134,140
Paredes,81,89,92,101,108,118,125,135
Porto,4146,4226,4303,4256,4369,4422,4531,4650
Póvoa de Varzim,251,255,268,277,283,288,295,315
Santa Maria da Feira,245,259,272,275,288,306,328,347
Santo Tirso,144,154,173,177,183,199,209,226
São João da Madeira,54,62,67,68,76,81,84,81
Trofa,59,65,82,92,103,108,114,120
Vale de Cambra,30,36,42,47,51,53,61,66
Valongo,211,221,235,244,262,283,299,307
Vila do Conde,229,231,242,254,267,281,304,321
Vila Nova de Gaia,1235,1306,1335,1363,1445,1493,1547,1598
Boticas,6,6,6,6,7,8,8,8
Chaves,138,146,149,149,156,165,175,184
Montalegre,8,8,8,9,11,10,10,10
Ribeira de Pena,11,13,13,10,10,9,8,10
Valpaços,65,65,61,38,36,38,38,36
Vila Pouca de Aguiar,17,20,20,20,21,22,23,25
Amarante,73,74,78,86,92,93,104,112
Baião,16,18,19,18,16,16,15,16
Castelo de Paiva,11,11,12,12,13,13,15,16
Celorico de Basto,12,13,13,15,18,19,20,22
Cinfães,16,15,16,18,17,18,18,20
Felgueiras,41,45,50,56,61,66,76,86
Lousada,30,30,30,31,34,38,45,47
Marco de Canaveses,30,35,41,42,49,55,57,64
Paços de Ferreira,48,53,61,68,77,81,87,97
Penafiel,82,94,103,102,110,117,126,135
Resende,9,10,8,10,11,11,13,15
Alijó,7,7,7,7,6,6,7,8
Armamar,3,3,3,3,3,5,6,6
Carrazeda de Ansiães,6,6,6,3,4,4,4,5
Freixo de Espada à Cinta,5,5,5,3,5,5,5,5
Lamego,50,54,56,57,63,69,80,86
Mesão Frio,9,8,8,8,9,8,9,9
Moimenta da Beira,10,10,10,9,8,8,13,16
Murça,1,1,1,2,3,4,4,5
Penedono,2,2,2,3,3,3,3,3
Peso da Régua,34,36,33,33,34,32,33,36
Sabrosa,5,5,6,6,6,7,7,7
Santa Marta de Penaguião,2,2,2,2,2,2,2,4
São João da Pesqueira,7,7,8,8,9,10,10,11
Sernancelhe,5,5,6,7,8,9,7,7
Tabuaço,3,3,3,3,3,3,4,4
Tarouca,7,7,8,9,9,10,12,12
Torre de Moncorvo,7,7,7,8,9,9,9,11
Vila Nova de Foz Côa,8,8,8,8,8,8,9,13
Vila Real,231,232,241,255,262,267,286,298
Alfândega da Fé,8,10,10,10,10,9,11,11
Bragança,119,123,126,132,142,153,160,163
Macedo de Cavaleiros,31,32,33,32,33,34,33,37
Miranda do Douro,10,10,10,10,10,10,10,10
Mirandela,69,69,71,66,72,79,84,83
Mogadouro,13,14,13,15,16,16,15,16
Vila Flor,4,4,7,7,8,8,8,9
Vimioso,3,3,3,4,4,4,4,4
Vinhais,6,5,5,5,5,6,6,8
Alcobaça,52,56,58,60,60,62,66,70
Alenquer,38,43,46,48,47,51,59,64
Arruda dos Vinhos,17,18,21,21,25,25,25,29
Bombarral,16,17,17,17,17,18,20,19
Cadaval,5,5,4,4,4,6,6,8
Caldas da Rainha,149,149,157,159,160,169,172,182
Lourinhã,24,27,29,30,30,34,35,38
Nazaré,17,17,18,20,19,18,17,20
Óbidos,11,11,10,13,13,14,15,14
Peniche,33,34,36,36,37,37,34,37
Sobral de Monte Agraço,12,13,13,13,15,15,15,17
Torres Vedras,132,137,147,157,157,168,174,183
Águeda,87,88,87,90,90,99,104,109
Albergaria-a-Velha,38,42,46,48,51,52,53,56
Anadia,56,58,62,67,70,74,74,80
Aveiro,349,358,371,379,401,409,419,437
Estarreja,43,46,48,50,50,52,53,57
Ílhavo,78,79,83,86,87,94,100,101
Murtosa,14,13,14,16,18,18,17,16
Oliveira do Bairro,40,43,45,48,48,52,56,54
Ovar,119,125,134,142,147,156,164,169
Sever do Vouga,14,15,15,15,16,16,18,18
Vagos,30,33,38,40,43,44,46,48
Arganil,10,10,10,9,9,9,10,9
Cantanhede,70,73,75,80,87,94,103,104
Coimbra,3456,3601,3710,3830,3933,4041,4142,4239
Condeixa-a-Nova,71,75,73,78,82,83,88,92
Figueira da Foz,236,247,260,265,267,279,289,301
Góis,1,1,1,2,1,1,1,2
Lousã,14,15,17,19,19,22,23,23
Mealhada,47,51,53,53,53,54,56,56
Mira,19,21,23,24,28,29,29,35
Miranda do Corvo,19,18,18,19,20,21,25,23
Montemor-o-Velho,40,39,43,47,49,53,55,56
Mortágua,16,17,17,17,19,22,24,26
Oliveira do Hospital,22,24,27,30,28,26,28,29
Pampilhosa da Serra,0,0,0,0,0,0,1,1
Penacova,14,14,17,20,20,18,18,18
Penela,8,8,7,6,6,7,9,9
Soure,12,17,18,21,21,23,26,26
Tábua,11,12,13,13,13,15,15,15
Vila Nova de Poiares,6,6,6,5,5,5,7,8
Alvaiázere,7,7,6,7,7,8,8,10
Ansião,10,11,10,10,11,12,14,15
Batalha,9,10,9,10,10,11,10,13
Castanheira de Pêra,2,2,4,4,2,2,2,2
Figueiró dos Vinhos,6,6,7,7,8,9,11,11
Leiria,355,371,377,397,405,410,420,435
Marinha Grande,33,33,35,31,28,29,30,31
Pedrógão Grande,1,1,1,1,1,2,2,3
Pombal,69,73,78,88,91,100,102,107
Porto de Mós,19,19,19,20,21,22,22,25
Aguiar da Beira,4,4,6,6,6,6,7,7
Carregal do Sal,10,11,10,11,10,11,13,13
Castro Daire,10,10,10,11,13,11,11,14
Mangualde,26,26,27,26,31,35,34,33
Nelas,22,25,26,26,26,27,27,29
Oliveira de Frades,10,10,10,12,12,15,15,15
Penalva do Castelo,5,4,4,5,6,10,12,12
Santa Comba Dão,20,20,20,21,20,24,24,25
São Pedro do Sul,26,28,31,32,36,38,41,46
Sátão,13,14,14,16,17,17,20,20
Tondela,43,45,47,47,51,51,54,59
Vila Nova de Paiva,6,6,7,6,7,7,8,7
Viseu,477,504,527,544,564,600,629,669
Vouzela,7,8,8,11,13,13,12,12
Castelo Branco,194,195,194,204,215,224,227,239
Idanha-a-Nova,5,6,6,6,6,6,6,6
