"Anos","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Arcos de Valdevez",1,1,1,1,1,1,1,1
"Caminha",0,0,0,0,0,1,0,0
"Melgaço",0,0,0,0,0,0,0,0
"Monção",0,0,0,0,0,0,0,0
"Paredes de Coura",0,0,0,0,0,0,0,0
"Ponte da Barca",0,0,0,0,0,0,0,0
"Ponte de Lima",0,0,0,0,0,1,1,1
"Valença",0,0,0,0,0,0,0,0
"Viana do Castelo",13,14,14,13,12,11,12,14
"Vila Nova de Cerveira",0,0,0,0,0,0,0,0
"Amares",0,0,0,1,1,1,1,1
"Barcelos",1,1,1,1,1,1,1,1
"Braga",35,36,36,36,36,36,36,34
"Esposende",3,3,3,3,3,3,3,2
"Terras de Bouro",0,0,0,0,0,0,0,0
"Vila Verde",0,0,0,1,1,1,1,1
"Cabeceiras de Basto",0,0,0,0,0,0,0,0
"Fafe",2,2,2,2,2,2,2,2
"Guimarães",9,9,9,9,10,11,13,14
"Mondim de Basto",0,0,0,0,0,0,0,0
"Póvoa de Lanhoso",0,0,0,0,0,0,0,0
"Vieira do Minho",0,0,0,0,0,0,0,0
"Vila Nova de Famalicão",10,9,9,11,11,13,13,14
"Vizela",1,1,1,1,1,1,1,1
"Arouca",0,0,1,1,1,1,1,0
"Espinho",2,2,2,4,4,5,5,4
"Gondomar",20,20,20,18,18,17,17,17
"Maia",21,20,21,22,23,22,22,23
"Matosinhos",45,45,46,49,49,47,53,51
"Oliveira de Azeméis",5,5,5,5,5,4,4,4
"Paredes",3,3,3,3,4,4,4,4
"Porto",174,176,177,180,185,178,182,183
"Póvoa de Varzim",10,9,10,10,10,9,8,8
"Santa Maria da Feira",4,4,4,4,5,4,5,6
"Santo Tirso",6,6,7,7,6,6,6,6
"São João da Madeira",2,2,2,2,2,2,2,2
"Trofa",0,0,0,0,2,2,2,3
"Vale de Cambra",0,0,0,0,0,0,0,0
"Valongo",3,3,4,9,9,9,10,10
"Vila do Conde",12,14,16,18,18,18,17,17
"Vila Nova de Gaia",44,43,42,44,47,47,50,52
"Boticas",0,0,0,0,0,0,0,0
"Chaves",7,8,8,7,7,5,5,5
"Montalegre",0,0,0,0,0,0,0,0
"Ribeira de Pena",0,0,0,0,0,0,0,0
"Valpaços",2,2,2,1,1,1,1,1
"Vila Pouca de Aguiar",0,0,0,0,0,0,0,0
"Amarante",6,6,6,6,7,5,5,5
"Baião",1,1,1,1,1,1,1,1
"Castelo de Paiva",0,0,0,0,0,0,0,0
"Celorico de Basto",0,0,0,0,0,0,0,0
"Cinfães",1,0,0,0,0,1,0,0
"Felgueiras",1,1,1,0,1,1,1,1
"Lousada",1,1,1,1,1,1,1,1
"Marco de Canaveses",1,1,1,1,1,1,1,1
"Paços de Ferreira",2,2,2,2,2,2,1,1
"Penafiel",2,3,3,2,2,2,2,2
"Resende",0,0,0,0,0,0,0,0
"Alijó",0,0,0,0,0,0,0,0
"Armamar",0,0,0,0,0,0,0,0
"Carrazeda de Ansiães",0,0,0,0,0,0,0,0
"Freixo de Espada à Cinta",0,0,0,0,0,0,0,0
"Lamego",3,3,3,3,3,3,3,3
"Mesão Frio",0,0,0,0,0,0,0,0
"Moimenta da Beira",0,0,0,0,0,0,0,0
"Murça",0,0,0,1,1,1,1,1
"Penedono",0,0,0,0,0,0,0,0
"Peso da Régua",0,0,0,1,1,1,1,1
"Sabrosa",0,0,0,0,0,0,0,0
"Santa Marta de Penaguião",0,0,0,0,0,0,0,0
"São João da Pesqueira",0,0,0,0,0,0,0,0
"Sernancelhe",0,0,0,0,0,0,0,0
"Tabuaço",0,0,0,0,0,0,0,0
"Tarouca",0,0,0,0,0,0,0,0
"Torre de Moncorvo",0,0,0,0,0,0,0,0
"Vila Nova de Foz Côa",0,0,0,0,0,0,0,0
"Vila Real",13,14,15,15,16,16,18,18
"Alfândega da Fé",0,0,0,0,0,0,0,0
"Bragança",2,2,2,4,4,4,4,5
"Macedo de Cavaleiros",1,1,1,1,2,2,1,1
"Miranda do Douro",0,0,0,0,0,0,0,0
"Mirandela",3,2,2,3,3,3,4,4
"Mogadouro",0,0,0,0,0,0,0,0
"Vila Flor",0,0,0,0,0,0,0,0
"Vimioso",0,0,0,0,0,0,0,0
"Vinhais",0,0,0,0,0,0,0,0
"Alcobaça",1,1,1,0,1,1,1,1
"Alenquer",0,0,0,0,0,0,0,0
"Arruda dos Vinhos",0,0,0,0,0,0,0,0
"Bombarral",0,0,0,0,0,0,0,0
"Cadaval",0,0,0,0,0,0,0,0
"Caldas da Rainha",11,11,11,11,11,11,10,10
"Lourinhã",0,0,0,0,0,0,0,0
"Nazaré",1,1,1,1,1,1,1,1
"Óbidos",1,1,1,1,1,1,1,1
"Peniche",1,1,1,2,2,1,1,1
"Sobral de Monte Agraço",0,0,0,0,0,0,0,0
"Torres Vedras",3,3,4,5,5,6,6,8
"Águeda",4,4,4,4,4,4,4,4
"Albergaria-a-Velha",1,1,1,1,1,0,0,0
"Anadia",3,3,4,5,5,5,5,5
"Aveiro",13,14,16,17,17,17,18,18
"Estarreja",0,0,0,0,0,0,0,0
"Ílhavo",2,3,3,4,4,4,4,4
"Murtosa",0,0,0,0,0,0,0,0
"Oliveira do Bairro",0,0,1,1,1,1,2,2
"Ovar",1,1,1,2,2,2,2,2
"Sever do Vouga",0,0,0,0,0,0,0,0
"Vagos",0,0,0,0,0,0,0,0
"Arganil",0,0,0,0,0,0,0,0
"Cantanhede",1,1,1,2,3,4,4,4
"Coimbra",105,107,109,120,121,123,125,125
"Condeixa-a-Nova",2,2,2,2,3,3,2,2
"Figueira da Foz",11,12,12,13,13,13,13,14
"Góis",0,0,0,0,0,0,0,0
"Lousã",0,0,0,0,0,0,0,0
"Mealhada",2,2,2,2,2,2,2,2
"Mira",0,1,1,1,1,1,1,1
"Miranda do Corvo",0,0,0,0,0,0,0,0
