"Anos","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Arcos de Valdevez",0,0,0,0,0,0,0,0
"Caminha",1,1,1,0,0,0,0,0
"Melgaço",0,0,0,0,0,0,0,0
"Monção",0,0,0,0,0,0,0,0
"Paredes de Coura",0,0,0,0,0,0,0,0
"Ponte da Barca",0,0,0,0,0,0,0,0
"Ponte de Lima",0,0,0,0,0,0,0,0
"Valença",0,0,0,0,0,0,0,0
"Viana do Castelo",9,9,9,9,9,10,9,9
"Vila Nova de Cerveira",0,0,1,1,1,1,1,0
"Amares",0,1,1,1,1,1,1,2
"Barcelos",2,2,2,2,2,2,2,3
"Braga",18,20,19,20,21,22,22,22
"Esposende",3,3,3,3,3,2,3,3
"Terras de Bouro",0,0,0,0,0,0,0,0
"Vila Verde",1,1,2,2,2,2,2,2
"Cabeceiras de Basto",0,0,0,0,0,0,0,0
"Fafe",0,0,0,0,0,0,1,1
"Guimarães",2,3,3,4,4,4,5,5
"Mondim de Basto",0,0,0,0,0,0,0,0
"Póvoa de Lanhoso",0,0,0,0,0,0,0,0
"Vieira do Minho",0,0,0,0,0,0,0,0
"Vila Nova de Famalicão",3,2,1,1,1,1,1,1
"Vizela",0,0,0,0,0,0,0,0
"Arouca",0,0,0,0,0,0,0,0
"Espinho",3,3,4,4,4,4,4,4
"Gondomar",7,7,7,8,7,8,9,9
"Maia",19,18,18,17,18,17,15,14
"Matosinhos",34,34,33,37,38,36,38,38
"Oliveira de Azeméis",1,1,1,1,1,1,1,1
"Paredes",1,1,1,1,1,1,1,1
"Porto",144,148,155,156,156,155,157,163
"Póvoa de Varzim",3,4,4,5,5,5,5,5
"Santa Maria da Feira",1,1,2,2,2,3,4,4
"Santo Tirso",2,2,3,3,3,3,3,4
"São João da Madeira",0,0,0,0,0,0,0,0
"Trofa",1,1,1,1,1,1,1,1
"Vale de Cambra",0,0,0,0,0,0,0,0
"Valongo",5,5,4,3,3,3,3,3
"Vila do Conde",3,3,3,3,3,3,4,5
"Vila Nova de Gaia",33,34,34,39,43,45,44,46
"Boticas",0,0,0,0,0,0,0,0
"Chaves",0,0,0,0,0,0,0,0
"Montalegre",0,0,0,0,0,0,0,0
"Ribeira de Pena",0,0,0,0,0,0,0,0
"Valpaços",0,0,0,0,0,0,0,0
"Vila Pouca de Aguiar",0,0,0,0,0,0,0,0
"Amarante",0,0,0,0,0,0,0,0
"Baião",0,0,1,1,1,1,1,0
"Castelo de Paiva",0,0,0,0,0,0,0,0
"Celorico de Basto",0,0,0,0,0,0,0,0
"Cinfães",0,0,0,0,0,0,0,0
"Felgueiras",0,0,0,0,0,0,0,0
"Lousada",0,0,0,0,0,0,1,1
"Marco de Canaveses",0,0,0,0,0,0,0,0
"Paços de Ferreira",0,0,0,0,0,0,0,0
"Penafiel",1,1,1,1,4,4,4,4
"Resende",0,0,0,0,0,0,0,0
"Alijó",0,0,0,0,0,0,0,0
"Armamar",0,0,0,0,0,0,0,0
"Carrazeda de Ansiães",0,0,0,0,0,0,0,0
"Freixo de Espada à Cinta",0,0,0,0,0,0,0,0
"Lamego",0,0,0,0,0,0,0,0
"Mesão Frio",0,0,0,0,0,0,0,0
"Moimenta da Beira",0,0,0,0,0,0,0,0
"Murça",0,0,0,0,0,0,0,0
"Penedono",0,0,0,0,0,0,0,0
"Peso da Régua",0,0,0,0,0,0,0,0
"Sabrosa",0,0,0,0,0,0,0,0
"Santa Marta de Penaguião",0,0,0,0,0,0,0,0
"São João da Pesqueira",0,0,0,0,0,0,0,0
"Sernancelhe",0,0,0,0,0,0,0,0
"Tabuaço",0,0,0,0,0,0,0,0
"Tarouca",0,0,0,0,0,0,0,0
"Torre de Moncorvo",0,0,0,0,0,0,0,0
"Vila Nova de Foz Côa",0,0,0,0,0,0,0,0
"Vila Real",2,2,2,3,3,3,3,3
"Alfândega da Fé",0,0,0,0,0,0,0,0
"Bragança",3,3,3,3,2,2,2,2
"Macedo de Cavaleiros",0,0,0,0,0,0,0,0
"Miranda do Douro",0,0,0,0,0,0,0,0
"Mirandela",0,0,0,0,1,1,1,1
"Mogadouro",0,0,0,0,0,0,0,0
"Vila Flor",0,0,0,0,0,0,0,0
"Vimioso",0,0,0,0,0,0,0,0
"Vinhais",0,0,0,0,0,0,0,0
"Alcobaça",1,1,1,1,1,1,1,1
"Alenquer",0,0,0,0,0,0,0,0
"Arruda dos Vinhos",1,1,1,1,1,1,1,1
"Bombarral",0,0,0,0,0,0,0,0
"Cadaval",0,0,0,0,0,0,0,1
"Caldas da Rainha",1,1,1,1,1,1,1,3
"Lourinhã",1,1,1,1,1,1,1,1
"Nazaré",0,0,0,0,0,0,0,0
"Óbidos",0,0,0,0,0,0,0,0
"Peniche",0,0,0,0,1,1,1,1
"Sobral de Monte Agraço",0,0,0,0,0,0,0,0
"Torres Vedras",0,0,0,0,0,0,0,0
"Águeda",1,1,1,1,1,1,1,1
"Albergaria-a-Velha",1,1,1,1,1,1,1,1
"Anadia",0,0,0,0,0,0,0,0
"Aveiro",10,10,10,8,7,8,10,10
"Estarreja",0,0,0,0,0,0,0,0
"Ílhavo",1,1,1,3,3,3,3,2
"Murtosa",0,0,0,0,0,0,0,0
"Oliveira do Bairro",0,0,0,0,0,0,0,0
"Ovar",1,1,1,1,1,1,1,1
"Sever do Vouga",0,0,0,0,0,0,0,1
"Vagos",0,0,0,0,0,0,0,0
"Arganil",0,0,0,0,0,0,0,0
"Cantanhede",6,6,6,6,6,6,6,6
"Coimbra",105,109,115,119,119,120,122,126
"Condeixa-a-Nova",2,2,2,2,3,3,3,3
"Figueira da Foz",4,4,4,4,4,5,4,3
"Góis",0,0,0,0,0,0,0,0
"Lousã",0,0,0,0,0,0,0,0
"Mealhada",0,0,0,0,0,0,0,0
