,2009,2010,2011,2012,2013,2014,2015,2016
Arcos de Valdevez,50,53,47,67,44,60,44,55
Caminha,18,21,21,27,18,25,31,26
Melgaço,30,29,22,17,27,21,25,26
Monção,22,20,21,25,23,27,32,33
Paredes de Coura,18,8,17,17,16,8,15,21
Ponte da Barca,18,24,13,16,16,19,23,12
Ponte de Lima,68,62,65,78,46,45,50,68
Valença,11,13,15,10,8,5,15,19
Viana do Castelo,118,101,103,107,82,79,98,92
Vila Nova de Cerveira,17,15,15,15,13,9,13,11
Amares,22,16,25,27,21,28,16,22
Barcelos,127,114,106,136,102,89,151,128
Braga,153,129,126,163,147,129,174,143
Esposende,29,26,35,43,24,29,45,26
Terras de Bouro,20,18,12,20,17,8,12,5
Vila Verde,65,74,73,74,46,58,56,67
Cabeceiras de Basto,19,14,24,19,22,18,22,39
Fafe,42,62,44,53,47,55,53,58
Guimarães,120,111,119,141,138,127,147,108
Mondim de Basto,15,13,10,11,7,7,10,7
Póvoa de Lanhoso,23,16,20,34,34,25,28,29
Vieira do Minho,24,21,30,26,25,18,25,17
Vila Nova de Famalicão,90,110,110,106,99,110,128,121
Vizela,24,16,21,19,13,24,16,17
Arouca,30,22,29,33,37,23,28,28
Espinho,44,39,36,39,39,41,38,37
Gondomar,130,148,128,140,132,142,141,154
Maia,86,107,90,88,102,88,108,117
Matosinhos,171,137,153,165,155,162,195,173
Oliveira de Azeméis,55,64,78,74,69,73,82,89
Paredes,58,46,75,89,66,73,65,80
Porto,336,357,324,368,326,291,368,327
Póvoa de Varzim,52,33,51,56,50,56,51,39
Santa Maria da Feira,114,121,122,131,139,156,150,158
Santo Tirso,90,70,70,64,68,81,105,80
São João da Madeira,30,25,18,16,20,18,29,35
Trofa,30,30,33,32,38,45,37,34
Vale de Cambra,20,31,23,27,30,32,38,38
Valongo,70,75,74,98,71,77,78,77
Vila do Conde,71,64,91,62,64,60,70,78
Vila Nova de Gaia,256,232,246,282,238,249,296,241
Boticas,11,14,5,10,13,10,12,17
Chaves,43,53,49,82,46,54,59,91
Montalegre,28,18,20,25,24,28,26,24
Ribeira de Pena,12,14,10,17,7,2,7,9
Valpaços,35,43,34,33,29,26,33,39
Vila Pouca de Aguiar,28,17,28,34,12,17,12,17
Amarante,50,63,84,93,67,60,81,72
Baião,24,40,26,29,27,23,29,32
Castelo de Paiva,16,21,21,22,19,21,26,22
Celorico de Basto,16,22,23,29,32,29,22,22
Cinfães,15,30,21,25,23,28,25,21
Felgueiras,39,54,45,50,52,48,53,55
Lousada,32,42,25,50,37,46,60,59
Marco de Canaveses,44,52,54,51,54,42,45,63
Paços de Ferreira,47,35,51,39,41,37,37,50
Penafiel,79,68,78,79,81,74,82,94
Resende,16,15,18,22,25,25,31,15
Alijó,20,27,21,28,22,22,19,27
Armamar,10,11,9,14,10,8,11,10
Carrazeda de Ansiães,15,13,10,26,9,12,11,9
Freixo de Espada à Cinta,5,7,8,13,15,6,7,15
Lamego,37,27,33,62,49,30,42,48
Mesão Frio,3,0,5,11,7,3,8,5
Moimenta da Beira,15,15,11,23,21,12,17,16
Murça,12,10,10,17,14,8,12,9
Penedono,5,0,3,4,6,5,4,5
Peso da Régua,26,23,16,22,17,15,14,21
Sabrosa,6,15,10,16,18,11,8,7
Santa Marta de Penaguião,20,9,8,15,12,11,14,5
São João da Pesqueira,11,11,15,16,20,14,8,23
Sernancelhe,10,11,7,12,16,11,9,13
Tabuaço,8,16,13,12,11,10,14,8
Tarouca,12,21,6,20,16,7,14,9
Torre de Moncorvo,19,22,18,20,16,7,16,10
Vila Nova de Foz Côa,8,12,8,11,14,10,15,12
Vila Real,59,40,55,64,47,54,41,52
Alfândega da Fé,7,9,5,16,8,5,12,7
Bragança,35,25,34,37,37,37,48,38
Macedo de Cavaleiros,35,27,39,39,31,24,26,20
Miranda do Douro,19,9,7,15,15,5,7,17
Mirandela,35,45,36,37,31,29,32,30
Mogadouro,16,13,17,22,13,9,13,12
Vila Flor,12,9,21,22,11,2,13,7
Vimioso,7,8,11,8,5,3,13,7
Vinhais,21,23,10,19,11,14,20,19
Alcobaça,53,53,53,81,64,97,84,86
Alenquer,39,34,44,60,45,36,56,49
Arruda dos Vinhos,9,10,7,13,0,4,8,6
Bombarral,14,19,20,14,29,24,25,25
Cadaval,23,24,24,28,27,28,20,18
Caldas da Rainha,59,67,77,68,73,66,67,73
