,2009,2010,2011,2012,2013,2014,2015,2016
Arcos de Valdevez,1,1,0,1,0,0,2,0
Caminha,0,2,1,0,1,0,1,0
Melgaço,0,0,0,0,0,0,1,0
Monção,0,2,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,1,0,0,0,0,0
Ponte de Lima,0,0,0,0,0,0,1,1
Valença,0,0,1,0,0,0,1,1
Viana do Castelo,0,1,4,0,1,0,3,0
Vila Nova de Cerveira,0,1,0,1,0,0,2,1
Amares,0,0,0,1,0,0,1,0
Barcelos,3,1,3,2,1,0,1,0
Braga,2,10,4,7,5,2,2,2
Esposende,0,0,0,1,0,0,0,0
Terras de Bouro,0,1,0,0,0,0,0,1
Vila Verde,3,1,1,1,1,0,0,0
Cabeceiras de Basto,0,0,0,0,0,0,0,1
Fafe,2,3,0,1,1,0,1,0
Guimarães,6,5,3,8,7,3,2,5
Mondim de Basto,0,0,0,0,1,0,0,0
Póvoa de Lanhoso,0,0,0,0,0,0,0,1
Vieira do Minho,0,1,0,0,0,0,0,0
Vila Nova de Famalicão,1,0,4,5,3,1,2,1
Vizela,2,1,0,0,0,3,0,0
Arouca,0,1,0,0,0,0,1,0
Espinho,0,1,1,2,1,0,1,0
Gondomar,7,10,11,9,10,7,3,7
Maia,7,6,3,3,6,3,4,2
Matosinhos,21,12,13,8,8,13,10,4
Oliveira de Azeméis,2,1,0,1,1,1,0,1
Paredes,3,2,2,1,1,2,3,0
Porto,47,33,30,21,15,15,11,13
Póvoa de Varzim,3,3,3,0,2,3,0,1
Santa Maria da Feira,3,3,2,1,3,3,2,3
Santo Tirso,0,0,2,1,1,0,1,1
São João da Madeira,0,2,0,0,0,0,1,1
Trofa,0,2,1,2,1,1,1,1
Vale de Cambra,0,0,0,0,0,0,0,1
Valongo,7,5,3,1,5,1,0,2
Vila do Conde,3,2,0,6,2,0,1,1
Vila Nova de Gaia,34,30,19,27,18,18,17,8
Boticas,0,0,0,0,0,0,0,0
Chaves,1,1,2,0,0,0,0,0
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,1,0,1,0,0,0,0,0
Valpaços,0,0,0,0,2,0,0,1
Vila Pouca de Aguiar,0,0,1,1,0,0,0,0
Amarante,3,0,0,0,3,0,0,1
Baião,0,0,1,0,0,0,0,0
Castelo de Paiva,0,2,0,1,0,0,0,2
Celorico de Basto,0,0,0,0,1,0,0,1
Cinfães,1,0,0,0,0,3,1,1
Felgueiras,0,1,1,0,0,0,0,3
Lousada,1,1,0,1,0,1,0,0
Marco de Canaveses,0,0,0,0,1,0,1,0
Paços de Ferreira,3,2,1,2,0,0,0,2
Penafiel,1,3,6,0,1,0,0,0
Resende,0,0,1,0,0,0,1,0
Alijó,1,0,1,2,3,0,0,2
Armamar,0,0,0,0,0,0,1,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,0,0,0,0,0,0,0,0
Mesão Frio,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0
Murça,0,0,0,0,1,0,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,1,0,0,0
Sabrosa,0,0,0,0,0,0,0,1
Santa Marta de Penaguião,0,0,1,0,0,0,0,0
São João da Pesqueira,1,0,0,1,0,0,0,0
Sernancelhe,0,0,0,1,0,0,0,1
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,1,1,0,0,0,0,0,0
Vila Real,1,2,2,2,1,0,2,0
Alfândega da Fé,0,0,0,1,0,0,0,0
Bragança,0,0,0,1,0,0,1,0
Macedo de Cavaleiros,0,2,1,0,0,0,0,1
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,0,0,0,0,1,0,0,0
Mogadouro,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Alcobaça,0,1,3,4,0,0,1,1
Alenquer,2,0,4,5,1,0,2,2
Arruda dos Vinhos,0,2,0,1,1,0,2,1
Bombarral,0,2,2,0,1,2,0,0
Cadaval,0,0,0,0,0,2,0,0
Caldas da Rainha,1,3,3,1,2,0,6,1
Lourinhã,1,1,3,1,0,2,2,0
Nazaré,0,5,2,4,1,0,1,1
Óbidos,0,0,1,2,0,0,0,0
Peniche,3,2,2,1,0,1,3,6
Sobral de Monte Agraço,0,1,1,1,0,0,1,1
Torres Vedras,7,1,3,0,1,1,3,2
Águeda,2,1,2,0,1,0,1,1
Albergaria-a-Velha,0,1,1,1,0,0,0,0
Anadia,1,0,1,0,0,0,0,1
Aveiro,3,3,1,3,0,2,1,1
Estarreja,1,1,0,1,0,0,1,0
Ílhavo,0,2,3,4,2,0,0,1
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,1,1,2,0,0,0,0,1
Ovar,2,2,3,0,0,0,1,0
Sever do Vouga,0,0,0,0,0,0,1,0
Vagos,0,1,0,0,1,0,0,0
Arganil,0,0,0,0,0,0,0,1
Cantanhede,1,1,0,0,1,0,1,1
Coimbra,9,7,3,6,2,4,6,1
Condeixa-a-Nova,1,0,1,0,0,0,0,1
Figueira da Foz,1,2,1,1,0,0,2,2
Góis,0,0,0,0,0,0,0,0
Lousã,0,0,0,1,0,0,0,0
Mealhada,0,0,0,1,0,2,0,0
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,1,0,0,0,1,1,2,0
Montemor-o-Velho,0,0,2,0,1,0,0,0
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,0,0,0,0,0,0,0,0
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,0,0,0,1,0,0,0,0
Penela,0,0,1,0,0,0,1,0
Soure,0,0,0,0,0,0,0,0
Tábua,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,1,0,0,0,0,0
Alvaiázere,0,0,1,0,0,0,0,0
Ansião,0,1,0,0,1,0,0,0
Batalha,0,0,1,0,1,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,1,1,0
Leiria,2,2,3,7,3,2,4,3
Marinha Grande,4,1,0,1,3,0,5,0
Pedrógão Grande,0,0,1,0,0,0,0,0
Pombal,1,1,1,0,1,0,0,1
Porto de Mós,0,1,1,1,0,0,2,1
Aguiar da Beira,0,0,0,0,0,0,1,0
Carregal do Sal,1,0,0,1,0,0,1,0
Castro Daire,0,1,0,0,0,0,1,0
Mangualde,0,0,0,0,0,2,0,0
Nelas,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,1
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,1,0,0,0,0,1
São Pedro do Sul,0,0,0,0,0,0,0,0
Sátão,0,0,1,0,0,0,0,0
Tondela,2,0,0,1,1,0,0,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0
Viseu,3,2,1,5,0,0,1,0
Vouzela,0,0,0,0,0,0,0,0
Castelo Branco,1,0,2,2,4,0,2,2
Idanha-a-Nova,1,0,0,0,0,2,0,1
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,1,0,0,0,1
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Abrantes,1,3,1,1,1,2,2,1
Alcanena,0,0,1,1,0,0,1,0
Constância,0,1,0,0,0,0,0,0
Entroncamento,0,1,1,0,1,2,0,3
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,1,1,1,0,0,0
Ourém,0,0,0,2,1,3,2,0
Sardoal,0,0,0,1,0,0,0,0
Sertã,0,0,0,1,1,0,0,0
Tomar,0,6,2,2,2,2,0,1
Torres Novas,0,2,1,1,0,1,1,1
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,1,0,1,0,0,0,0,1
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,1,0,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,1,0,1,1,0,0,1,0
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0
Fundão,1,1,0,0,0,0,1,0
Gouveia,0,0,1,0,1,0,0,1
Guarda,0,0,0,0,2,0,0,2
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0
Seia,0,1,0,0,0,0,0,0
Trancoso,0,0,0,0,0,0,1,0
Alcochete,1,3,1,0,2,0,0,1
Almada,16,19,16,13,24,19,22,18
Amadora,32,36,27,22,23,13,12,7
Barreiro,10,11,9,4,5,7,9,5
Cascais,19,21,23,24,19,19,9,11
Lisboa,105,101,68,58,54,50,37,34
Loures,37,19,15,19,16,11,17,10
Mafra,3,4,2,8,2,0,0,3
Moita,7,13,8,6,7,9,5,8
Montijo,7,4,4,2,3,4,4,4
Odivelas,19,12,15,9,14,11,10,6
Oeiras,10,15,13,12,11,7,6,7
Palmela,6,3,3,1,6,0,5,0
Seixal,13,13,10,16,12,6,13,10
Sesimbra,3,3,4,1,2,6,1,3
Setúbal,13,23,19,11,11,7,6,6
Sintra,40,36,32,27,28,25,18,18
Vila Franca de Xira,10,17,8,10,7,11,9,5
Alcácer do Sal,0,1,1,0,1,0,0,0
Grândola,0,1,1,0,1,0,3,0
Odemira,1,1,0,1,0,0,0,0
Santiago do Cacém,0,0,1,0,2,0,1,0
Sines,0,0,1,1,1,2,2,0
Aljustrel,0,1,0,0,0,0,0,1
Almodôvar,0,0,0,0,0,0,1,0
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,2,2,1,0,0,0,0,0
Castro Verde,0,0,0,0,0,1,0,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,1,0,0,0,0
Mértola,1,1,1,2,0,0,0,0
Moura,0,1,0,0,0,0,0,1
Ourique,0,0,0,0,0,0,0,0
Serpa,1,0,0,0,0,0,0,0
Vidigueira,0,0,1,0,0,0,0,0
Almeirim,3,0,1,2,0,0,0,1
Alpiarça,3,0,2,1,0,0,0,0
Azambuja,0,0,2,1,0,0,2,1
Benavente,2,4,5,6,1,6,6,3
Cartaxo,1,1,1,2,0,0,0,1
Chamusca,0,0,0,1,1,0,0,0
Coruche,0,1,0,1,1,2,0,0
Golegã,1,0,0,0,0,0,0,0
Rio Maior,0,2,0,1,2,0,0,2
Salvaterra de Magos,4,2,2,1,0,1,0,1
Santarém,5,0,4,5,3,4,1,0
Alter do Chão,0,1,0,0,0,0,0,0
Arronches,0,0,0,1,0,0,0,0
Avis,0,0,1,0,0,0,0,0
Campo Maior,0,0,1,0,0,1,0,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,2,4,1,0,0,0,1,0
Fronteira,0,0,0,0,1,0,0,0
Gavião,0,0,0,0,0,0,1,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,1,0
