,Total,0-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
Arcos de Valdevez,22847,749,860,970,1014,1066,1146,1227,1303,1266,1385,1489,1571,1744,1775,1721,3561
Caminha,16684,600,668,766,870,947,1019,1049,1087,1126,1205,1208,1102,1091,1054,890,2002
Melgaço,9213,255,270,296,383,383,405,409,451,468,521,664,606,726,823,791,1762
Monção,19230,647,697,737,823,938,1075,1166,1147,1165,1274,1398,1348,1397,1370,1352,2696
Paredes de Coura,9198,365,386,376,375,512,531,548,628,589,612,608,563,633,593,574,1305
Ponte da Barca,12061,411,505,623,671,639,687,766,827,763,845,787,735,772,786,777,1467
Ponte de Lima,43498,1939,2268,2529,2665,2467,2693,2977,3422,3245,3113,2696,2497,2367,2230,2111,4279
Valença,14127,554,620,697,694,751,818,960,1038,994,970,972,905,957,834,780,1583
Viana do Castelo,88725,3711,4187,4598,4734,4839,5423,6384,6721,6489,6571,6526,5943,5264,4849,4123,8363
Vila Nova de Cerveira,9253,403,411,416,473,462,535,635,723,645,600,610,574,589,551,523,1103
Amares,18889,908,1042,1189,1189,1203,1252,1374,1516,1415,1364,1244,1083,1013,814,769,1514
Barcelos,120391,5596,6626,7780,7922,7755,7888,9260,10300,9655,9331,8151,7367,6213,4796,4222,7529
Braga,181494,9021,9899,10747,10849,11249,13041,15041,15544,14627,14457,12749,11137,9239,6789,5905,11200
Esposende,34254,1643,1902,2110,2139,2126,2219,2774,2851,2700,2595,2309,1973,1864,1474,1254,2321
Terras de Bouro,7253,250,341,354,421,416,398,381,464,489,552,490,455,463,414,425,940
Vila Verde,47888,2302,2745,2951,3087,2907,3278,3583,3845,3515,3399,2986,2558,2431,2205,1997,4099
Cabeceiras de Basto,16710,757,915,1051,1128,1033,1013,1121,1223,1190,1254,1156,934,714,753,770,1698
Fafe,50633,2142,2616,3060,3061,3077,3179,3727,3830,3870,3741,3587,3435,2867,2397,2128,3916
Guimarães,158124,6987,8033,9692,9934,10027,10580,11928,13200,12948,12819,11361,10596,8451,6473,5740,9355
Mondim de Basto,7493,282,371,472,518,431,411,454,497,542,573,493,458,382,430,414,765
Póvoa de Lanhoso,21886,965,1227,1378,1356,1324,1367,1440,1681,1603,1672,1541,1356,1146,975,899,1956
Vieira do Minho,12997,462,594,722,769,778,714,757,847,871,963,985,791,779,721,728,1516
Vila Nova de Famalicão,133832,6216,7207,8194,8200,7812,8694,10520,11395,11161,10741,9283,8591,7374,5543,4767,8134
Vizela,23736,1086,1277,1615,1611,1647,1658,1759,2076,1989,1967,1691,1483,1156,855,743,1123
Arouca,22359,1039,1102,1322,1360,1353,1408,1549,1648,1632,1685,1551,1427,1259,1026,963,2035
Espinho,31786,1089,1333,1621,1708,1698,1825,1879,2051,2247,2484,2530,2449,2318,1859,1696,2999
Gondomar,168027,7642,8652,9551,9317,9439,10722,12071,13980,13658,13579,12557,11329,10360,7958,6456,10756
Maia,135306,7371,7693,7712,6837,6994,8889,11278,12907,11637,10508,9347,8352,7673,5917,4526,7665
Matosinhos,175478,8047,8227,8838,9095,9756,11465,13137,14122,13223,13752,13310,12692,11529,8858,7012,12415
Oliveira de Azeméis,68611,2706,3187,3786,3927,4003,4125,4666,5370,5366,5588,5231,4468,4146,3507,3025,5510
Paredes,86854,4770,5475,5893,5602,5566,6017,7173,7810,7340,6936,5695,4830,3969,3140,2540,4098
Porto,237591,8463,9267,10649,11895,13122,15173,15149,15610,14907,16947,17048,17394,16884,14248,12957,27878
Póvoa de Varzim,63408,3148,3507,3762,3962,3694,4069,4755,5148,4955,4799,4487,4002,3628,2934,2408,4150
Santa Maria da Feira,139312,6363,7442,8237,8051,7985,8576,10699,11644,11294,11638,10219,8918,7623,6378,5388,8857
Santo Tirso,71530,2661,3291,3930,3954,4168,4316,5015,5308,5532,5848,5249,5290,4636,3549,3262,5521
São João da Madeira,21713,920,1058,1148,1220,1294,1438,1585,1665,1690,1761,1642,1494,1223,1054,892,1629
Trofa,38999,1736,2055,2284,2407,2581,2633,2965,3221,3167,3218,2781,2508,2227,1647,1401,2168
Vale de Cambra,22864,831,1005,1063,1260,1255,1400,1473,1651,1631,1633,1660,1618,1555,1292,1203,2334
Valongo,93858,4929,5217,5393,5163,5317,6466,7923,8511,7403,7265,6588,5928,5269,4063,3316,5107
Vila do Conde,79533,4010,4341,4580,4524,4558,5161,6247,6783,6261,6266,5433,5095,4577,3634,2939,5124
Vila Nova de Gaia,302295,14423,15508,16710,16177,16367,19089,23052,25633,24103,24133,21834,20124,18484,14184,11760,20714
Boticas,5750,162,206,213,234,265,273,289,298,328,382,453,414,406,447,422,958
Chaves,41243,1393,1774,1863,2090,2163,2180,2528,2658,2672,2984,3071,2947,2823,2588,2504,5005
Montalegre,10537,240,314,449,501,478,471,462,502,550,730,803,783,773,801,849,1831
Ribeira de Pena,6544,233,258,328,344,339,302,376,393,390,467,540,444,380,437,414,899
Valpaços,16882,467,571,678,782,794,685,786,822,916,1158,1157,1348,1342,1272,1360,2744
Vila Pouca de Aguiar,13187,384,503,648,694,653,584,714,711,858,993,1025,994,965,938,881,1642
Amarante,56264,2439,3019,3579,3672,3411,3485,3886,4278,4446,4454,4085,3531,2908,2459,2364,4248
Baião,20522,853,1042,1217,1272,1383,1299,1290,1525,1547,1611,1380,1223,1046,882,1013,1939
Castelo de Paiva,16733,748,910,1045,1064,1039,1003,1087,1385,1491,1322,1177,1018,854,717,626,1247
Celorico de Basto,20098,886,972,1203,1251,1331,1379,1300,1414,1398,1535,1455,1165,986,855,921,2047
